metric,n_pairs,n_relative,n_shadow_zero,signed_relative_q1,signed_relative_median,signed_relative_q3,absolute_relative_q1,absolute_relative_median,absolute_relative_q3,absolute_difference_q1,absolute_difference_median,absolute_difference_q3,shadow_absolute_q1,shadow_absolute_median,shadow_absolute_q3,sign_disagreements,sign_disagreement_fraction,exact_agreements
curvature/e_lin_gradient,215,215,0,8893.904388122759,10589.375968762568,11880.083122579712,8893.904388122759,10589.375968762568,11880.083122579712,0.0045120752615205829,0.0054165551533528963,0.0070407460936771334,4.6236340661925439e-07,5.0177819834019555e-07,5.713251371583462e-07,0,0,0
curvature/e_lin_random,215,215,0,13254.043815337482,14474.047430941851,15462.097793702655,13254.043815337482,14474.047430941851,15462.097793702655,0.010588649267323861,0.011288065735404001,0.01185256219341246,7.3424286543998592e-07,7.7401208644423006e-07,8.2571875451102804e-07,0,0,0
curvature/e_lin_update,215,215,0,12917.288596749609,14464.164588717895,17459.920783231653,12917.288596749609,14464.164588717895,17459.920783231653,0.0097128070570903346,0.010789285583667251,0.011898885655826807,6.9627055333381496e-07,7.5576636157873058e-07,8.148594271563299e-07,0,0,0
curvature/e_sym_gradient,215,215,0,2013.0375199293176,6834.0151258583819,23619.926782096329,2013.0375199293176,6834.0151258583819,23619.926782096329,0.0031855179948177929,0.0074842052527807129,0.016653756048561966,3.2757398540445862e-07,8.2534177376740463e-07,2.7819050116146156e-06,0,0,0
curvature/e_sym_random,215,215,0,4956.7666950692437,11859.429698671829,36930.527824429511,4956.7666950692437,11859.429698671829,36930.527824429511,0.0047096239897422097,0.012245207673091722,0.025365929840792421,3.2304271455142582e-07,8.9465312603022033e-07,2.4113204233989349e-06,0,0,0
curvature/e_sym_update,215,215,0,4347.1327640493619,13136.736932314787,51126.690331381062,4347.1327640493619,13136.736932314787,51126.690331381062,0.0053742921287822914,0.013596385297382073,0.031389921627309268,3.5661451671092379e-07,9.3756452801710435e-07,2.1499812997842409e-06,0,0,0
curvature/eta_star,186,186,0,-0.0066046365145662651,0.00018794933395904613,0.0058683170420893785,0.001783756230458042,0.0060519689576485876,0.014248276684825898,0.0003488799485665689,0.00082085572829884712,0.0027076321818150575,0.084810162095582856,0.17576374368645836,0.4881285638896532,0,0,0
curvature/eta_star_rho,215,215,0,-0.0012176356300513636,0.0003344863795924729,0.0030904860950150951,0.00068401930183497445,0.0021056618433432338,0.0051454900980932635,0.00026544190668953416,0.00081350209959418773,0.0019927669372538093,0.43939780865005373,0.5210562271557676,0.56249344620724417,0,0,0
curvature/eta_star_rho_threshold,215,215,0,65535,65535,65535,65535,65535,65535,0.062499046325683594,0.062499046325683594,0.062499046325683594,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,0,0,0
curvature/fd_conclusive_gradient,215,215,0,-1,-1,-1,1,1,1,1,1,1,1,1,1,215,1,0
curvature/fd_conclusive_random,215,40,175,-1,-1,-1,1,1,1,0,0,0,0,0,0,40,0.18604651162790697,175
curvature/fd_conclusive_update,215,2,213,-1,-1,-1,1,1,1,0,0,0,0,0,0,2,0.0093023255813953487,213
curvature/fd_eps_gradient,215,215,0,9,28.999999999999996,28.999999999999996,9,28.999999999999996,28.999999999999996,0.027,0.028999999999999998,0.028999999999999998,0.001,0.001,0.0030000000000000001,0,0,21
curvature/fd_eps_random,215,215,0,-0.90000000000000002,-0.66666666666666663,0,0,0.66666666666666663,0.90000000000000002,0,0.019999999999999997,0.027,0.029999999999999999,0.029999999999999999,0.029999999999999999,0,0,106
curvature/fd_eps_update,215,215,0,-0.66666666666666663,0,0,0,0,0.66666666666666663,0,0,0.019999999999999997,0.029999999999999999,0.029999999999999999,0.029999999999999999,0,0,108
curvature/fd_floor_gradient,215,215,0,2185.2477362288228,2203.2097217407859,6557.3699412780916,2185.2477362288228,2203.2097217407859,6557.3699412780916,0.52619056567074329,0.6091249041857506,0.88107425446763887,7.3486769612008909e-05,0.00028692264219995131,0.00050381365937639082,0,0,0
curvature/fd_floor_random,215,215,0,65530.821303218137,195918.14958932585,655885.1627312554,65530.821303218137,195918.14958932585,655885.1627312554,0.55604147193634623,1.4921273986747394,8.883976075617138,8.0285999901338666e-06,9.3303144979537708e-06,1.3344207295412282e-05,0,0,0
curvature/fd_floor_update,215,215,0,65529.921677739621,66144.367491413999,196903.93653143122,65529.921677739621,66144.367491413999,196903.93653143122,0.56353124251771791,1.2938411593122794,2.708878232783301,8.0285995615453004e-06,9.330314446819005e-06,1.3344207878371397e-05,0,0,0
curvature/fd_snr_gradient,215,215,0,-0.99984713305124551,-0.99954552534149443,-0.99952846742342394,0.99952846742342394,0.99954552534149443,0.99984713305124551,19054.629999345798,37269.832531808373,55432.603854739617,19063.431081792027,37270.400929787371,55449.343383871019,0,0,0
curvature/fd_snr_random,215,215,0,-0.99916523841440996,-0.99882089713417044,-0.99861096635571944,0.99861096635571944,0.99882089713417044,0.99916523841440996,434.47423882702572,605.78183332359106,746.4500503013146,434.5536864227505,606.54840252132522,747.19803181832617,0,0,0
curvature/fd_snr_update,215,215,0,-0.99789306522357979,-0.99389385584477197,-0.99215049235191111,0.99215049235191111,0.99389385584477197,0.99789306522357979,96.414636995916382,123.00945807649022,145.37804923025001,97.254668117087391,123.63973219675984,146.18892500505399,0,0,0
curvature/gHg,215,215,0,-0.0065034687317616427,0.0011227065150435471,0.014293681122434006,0.0027634405784140894,0.0093510001228870338,0.020746102167846087,0.023627532032000076,0.20801433388309221,0.83194266818829377,5.1110531252443705,15.932543650558188,125.8291782478762,0,0,0
curvature/gg,215,215,0,-0.0020179892821079832,-9.2712558192672737e-05,0.0015663539647327038,0.0006492301737564902,0.0018115228239091962,0.0038063181496182123,0.0034133378094174383,0.012188715505832448,0.030553694684931632,4.0822874759934322,5.5133412437422118,11.277372793087448,0,0,0
curvature/verdict_code_gradient,215,29,186,1,1,1,1,1,1,2,2,2,0,0,0,186,0.8651162790697674,2
curvature/verdict_code_random,215,215,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,4
curvature/verdict_code_update,215,215,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
curvature/vhv_gradient,215,215,0,-0.005681921232210816,0.00051431948892558823,0.011360726437866689,0.0021635491310381975,0.0067318828122075762,0.016490068346246816,0.0039141976462513384,0.027241037681266178,0.06996466569869364,1.5404299901522616,3.3957895201714727,11.135698013570725,0,0,0
curvature/vhv_random,215,215,0,-0.0049811819127705079,-0.0010376148134174923,0.0032851856031730219,0.0017063923286126331,0.0043473950510609606,0.009075948670277072,6.9717938027382143e-09,1.9077031499082572e-08,4.1076112653631264e-08,2.8553818531030597e-06,5.0313799728300681e-06,8.1419472488127004e-06,0,0,0
curvature/vhv_update,215,215,0,-0.0019130754177696966,-0.00015492786137887466,0.0025264315173296158,0.00097459727530970364,0.0020841206510159517,0.0039217478009963003,1.7096103679835988e-10,3.7223135482685539e-10,8.3121424936199784e-10,1.4131071811867503e-07,2.022754222876728e-07,3.7279702241427603e-07,0,0,0
update/actual,215,215,0,-0.027375843853686341,0.0029853819229977352,0.028620375092376246,0.008108224672898845,0.02803585091266805,0.12210991231783434,0.00040972232818603516,0.0009441375732421875,0.0017040371894836426,0.0090605616569519043,0.032396316528320312,0.067590236663818359,7,0.03255813953488372,0
update/direction_norm,215,215,0,0,0,0,0,0,0,0,0,0,228.58285215533849,557.56515935730681,748.01083063245608,0,0,215
update/loss_after,215,215,0,-0.00020293132490240389,5.6781914191504741e-05,0.00031666486064027251,0.00010596011347488973,0.00028075457066206689,0.00055664686536153378,0.00033044815063476562,0.000690460205078125,0.0011461973190307617,1.5726436972618103,1.8990328311920166,4.5057926177978516,0,0,1
update/loss_before,215,215,0,-0.00019111317443403284,1.1824721345582017e-05,0.00028981638108556347,9.2586346528240074e-05,0.00024167768626085273,0.00050928484309050576,0.00024777650833129883,0.00058460235595703125,0.0010071396827697754,1.5777894258499146,1.9076524972915649,4.6197335720062256,0,0,0
update/normalized_residual,215,215,0,-0.522629921256064,0.021507249014278022,1.7532678027160817,0.19000392451320985,0.77902673018959767,18.785805970076851,0.0064703978746836355,0.021422107896447308,0.090896833506340674,0.0040134824278040817,0.024414133022755746,0.13192618896058073,44,0.20465116279069767,0
update/p1,215,215,0,-0.0034746674620161153,3.2957272814899946e-05,0.0035181898425066032,0.0010465279567776101,0.0035142404663811694,0.0095684953885196225,3.9465331240749052e-05,0.00011830262736337287,0.00031416781177358993,0.014423948367235512,0.051151151737175465,0.11011023783927057,1,0.0046511627906976744,0
update/p2,215,215,0,-0.0048302358745028057,-0.00015070906560315503,0.0044448234649048868,0.0018366162935899571,0.0046070043584831898,0.014841896952754183,3.9657506490070604e-05,0.00011357122098997613,0.00030511729091780085,0.0089916239304019107,0.030526310366354045,0.067956255242439145,1,0.0046511627906976744,0
update/residual_p1,215,215,0,-0.022240389686568975,0.0039598499865729601,0.03733897076968528,0.0098844936592968561,0.027742072129124752,0.20545626233340858,0.00040310910401026803,0.0009352078186860846,0.0015809835808977483,0.0048363345028719935,0.032126767551818258,0.067302707454493876,6,0.027906976744186046,0
update/residual_p2,215,215,0,-0.5242370951365205,0.029414682417687507,1.8277306225779677,0.21180395779247171,0.83706900555971242,19.041806470242385,0.00039535123460641459,0.00088581679144415781,0.001493838383188735,4.8399686308139844e-05,0.00088076175209961943,0.0040129835314652376,44,0.20465116279069767,0
