metric,run,depth,seed,run_median_abs_relative
curvature/eta_star_rho,d12-s10,12,10,0.0024148016536263903
curvature/eta_star_rho,d12-s11,12,11,0.002613556580076443
curvature/eta_star_rho,d12-s7,12,7,0.0016754275572826917
curvature/eta_star_rho,d12-s8,12,8,0.0020762394525515467
curvature/eta_star_rho,d12-s9,12,9,0.0031965720516991657
curvature/eta_star_rho,d14-s7,14,7,0.0013222830150151519
curvature/eta_star_rho,d16-s7,16,7,0.0022964158025580521
curvature/eta_star_rho_threshold,d12-s10,12,10,65535
curvature/eta_star_rho_threshold,d12-s11,12,11,65535
curvature/eta_star_rho_threshold,d12-s7,12,7,65535
curvature/eta_star_rho_threshold,d12-s8,12,8,65535
curvature/eta_star_rho_threshold,d12-s9,12,9,65535
curvature/eta_star_rho_threshold,d14-s7,14,7,65535
curvature/eta_star_rho_threshold,d16-s7,16,7,65535
curvature/fd_conclusive_gradient,d12-s10,12,10,1
curvature/fd_conclusive_gradient,d12-s11,12,11,1
curvature/fd_conclusive_gradient,d12-s7,12,7,1
curvature/fd_conclusive_gradient,d12-s8,12,8,1
curvature/fd_conclusive_gradient,d12-s9,12,9,1
curvature/fd_conclusive_gradient,d14-s7,14,7,1
curvature/fd_conclusive_gradient,d16-s7,16,7,1
curvature/fd_conclusive_random,d12-s10,12,10,1
curvature/fd_conclusive_random,d12-s11,12,11,1
curvature/fd_conclusive_random,d12-s7,12,7,1
curvature/fd_conclusive_random,d12-s8,12,8,1
curvature/fd_conclusive_random,d12-s9,12,9,1
curvature/fd_conclusive_random,d14-s7,14,7,1
curvature/fd_conclusive_random,d16-s7,16,7,1
curvature/fd_conclusive_update,d12-s11,12,11,1
curvature/fd_conclusive_update,d12-s9,12,9,1
curvature/fd_eps_gradient,d12-s10,12,10,28.999999999999996
curvature/fd_eps_gradient,d12-s11,12,11,28.999999999999996
curvature/fd_eps_gradient,d12-s7,12,7,28.999999999999996
curvature/fd_eps_gradient,d12-s8,12,8,28.999999999999996
curvature/fd_eps_gradient,d12-s9,12,9,28.999999999999996
curvature/fd_eps_gradient,d14-s7,14,7,28.999999999999996
curvature/fd_eps_gradient,d16-s7,16,7,28.999999999999996
curvature/fd_eps_random,d12-s10,12,10,0
curvature/fd_eps_random,d12-s11,12,11,0
curvature/fd_eps_random,d12-s7,12,7,0.66666666666666663
curvature/fd_eps_random,d12-s8,12,8,0
curvature/fd_eps_random,d12-s9,12,9,0.66666666666666663
curvature/fd_eps_random,d14-s7,14,7,0.66666666666666663
curvature/fd_eps_random,d16-s7,16,7,0.66666666666666663
curvature/fd_eps_update,d12-s10,12,10,0.33333333333333331
curvature/fd_eps_update,d12-s11,12,11,0
curvature/fd_eps_update,d12-s7,12,7,0
curvature/fd_eps_update,d12-s8,12,8,0
curvature/fd_eps_update,d12-s9,12,9,0.33333333333333331
curvature/fd_eps_update,d14-s7,14,7,0.66666666666666663
curvature/fd_eps_update,d16-s7,16,7,0.66666666666666663
curvature/fd_floor_gradient,d12-s10,12,10,2181.0386197880061
curvature/fd_floor_gradient,d12-s11,12,11,2208.1853148109212
curvature/fd_floor_gradient,d12-s7,12,7,2201.9580679107767
curvature/fd_floor_gradient,d12-s8,12,8,2191.0708168968631
curvature/fd_floor_gradient,d12-s9,12,9,2195.3501561792755
curvature/fd_floor_gradient,d14-s7,14,7,2227.9712321175593
curvature/fd_floor_gradient,d16-s7,16,7,2216.9026778293241
curvature/fd_floor_random,d12-s10,12,10,65595.811178125252
curvature/fd_floor_random,d12-s11,12,11,65605.862779318821
curvature/fd_floor_random,d12-s7,12,7,196400.48755711032
curvature/fd_floor_random,d12-s8,12,8,65688.677040404422
curvature/fd_floor_random,d12-s9,12,9,196452.14751927307
curvature/fd_floor_random,d14-s7,14,7,195874.97823409433
curvature/fd_floor_random,d16-s7,16,7,196325.03463784745
curvature/fd_floor_update,d12-s10,12,10,130769.44538547112
curvature/fd_floor_update,d12-s11,12,11,65535.561980031227
curvature/fd_floor_update,d12-s7,12,7,65767.212584474153
curvature/fd_floor_update,d12-s8,12,8,65705.792561085051
curvature/fd_floor_update,d12-s9,12,9,131090.45327591524
curvature/fd_floor_update,d14-s7,14,7,196515.13502165835
curvature/fd_floor_update,d16-s7,16,7,196508.1739309862
curvature/fd_snr_gradient,d12-s10,12,10,0.99953773790260581
curvature/fd_snr_gradient,d12-s11,12,11,0.99954612738534998
curvature/fd_snr_gradient,d12-s7,12,7,0.99954527309209507
curvature/fd_snr_gradient,d12-s8,12,8,0.99954140690402338
curvature/fd_snr_gradient,d12-s9,12,9,0.99954298322744206
curvature/fd_snr_gradient,d14-s7,14,7,0.99955329215777267
curvature/fd_snr_gradient,d16-s7,16,7,0.99954919033310752
curvature/fd_snr_random,d12-s10,12,10,0.99881628977853598
curvature/fd_snr_random,d12-s11,12,11,0.99877763548696141
curvature/fd_snr_random,d12-s7,12,7,0.99888219138694057
curvature/fd_snr_random,d12-s8,12,8,0.99875624774505989
curvature/fd_snr_random,d12-s9,12,9,0.998744876281078
curvature/fd_snr_random,d14-s7,14,7,0.9989287457406506
curvature/fd_snr_random,d16-s7,16,7,0.9987488830977086
curvature/fd_snr_update,d12-s10,12,10,0.99396620165944927
curvature/fd_snr_update,d12-s11,12,11,0.99413793364610226
curvature/fd_snr_update,d12-s7,12,7,0.99445175822504495
curvature/fd_snr_update,d12-s8,12,8,0.99455465002885135
curvature/fd_snr_update,d12-s9,12,9,0.9943975859188976
curvature/fd_snr_update,d14-s7,14,7,0.99346162995308729
curvature/fd_snr_update,d16-s7,16,7,0.99154994828354026
curvature/gHg,d12-s10,12,10,0.0097771365329575605
curvature/gHg,d12-s11,12,11,0.0086240131464336081
curvature/gHg,d12-s7,12,7,0.0095652972801605687
curvature/gHg,d12-s8,12,8,0.006598843700805079
curvature/gHg,d12-s9,12,9,0.0092227589406226503
curvature/gHg,d14-s7,14,7,0.0082274368845091355
curvature/gHg,d16-s7,16,7,0.0094685208447587398
curvature/gg,d12-s10,12,10,0.0013496617131256656
curvature/gg,d12-s11,12,11,0.0017088522610754497
