metric,d12_median,d14_median,d16_median,d12_seed_min,d12_seed_max,d12_seed_iqr,d16_minus_d12,d16_to_d12_ratio,d16_gt_d12,d16_lt_d12,strict_monotonic_increase,strict_monotonic_decrease,d16_above_all_d12_seeds
curvature/eta_star_rho,0.0022878510946903689,0.0013222830150151519,0.0022964158025580521,0.0016754275572826917,0.0031965720516991657,0.00053731712752489629,8.5647078676832737e-06,1.0037435600103346,True,False,False,False,False
curvature/eta_star_rho_threshold,65535,65535,65535,65535,65535,0,0,1,False,False,False,False,False
curvature/fd_conclusive_gradient,1,1,1,1,1,0,0,1,False,False,False,False,False
curvature/fd_conclusive_random,1,1,1,1,1,0,0,1,False,False,False,False,False
curvature/fd_conclusive_update,1,,,1,1,0,,,False,False,False,False,False
curvature/fd_eps_gradient,28.999999999999996,28.999999999999996,28.999999999999996,28.999999999999996,28.999999999999996,0,0,1,False,False,False,False,False
curvature/fd_eps_random,0,0.66666666666666663,0.66666666666666663,0,0.66666666666666663,0.66666666666666663,0.66666666666666663,,True,False,False,False,False
curvature/fd_eps_update,0,0.66666666666666663,0.66666666666666663,0,0.33333333333333331,0.33333333333333331,0.66666666666666663,,True,False,False,False,True
curvature/fd_floor_gradient,2193.9084831485493,2227.9712321175593,2216.9026778293241,2181.0386197880061,2208.1853148109212,10.887251013913556,22.994194680774854,1.0104809270110371,True,False,False,False,True
curvature/fd_floor_random,65809.014688809257,195874.97823409433,196325.03463784745,65595.811178125252,196452.14751927307,130794.6247777915,130516.01994903819,2.9832544305093855,True,False,True,False,False
curvature/fd_floor_update,65644.677857687551,196515.13502165835,196508.1739309862,65535.561980031227,131090.45327591524,65063.652824386067,130863.49607329865,2.9935126554661493,True,False,False,False,True
curvature/fd_snr_gradient,0.99954298322744206,0.99955329215777267,0.99954919033310752,0.99953773790260581,0.99954612738534998,3.8661880716883701e-06,6.2071056654566803e-06,1.0000062099437139,True,False,False,False,True
curvature/fd_snr_random,0.99880089675527706,0.9989287457406506,0.9987488830977086,0.998744876281078,0.99888219138694057,6.004203347609316e-05,-5.2013657568461547e-05,0.9999479238978084,False,True,False,False,False
curvature/fd_snr_update,0.99432017681630014,0.99346162995308729,0.99154994828354026,0.99396620165944927,0.99455465002885135,0.00031382457894268967,-0.0027702285327598775,0.99721394717984113,False,True,False,True,False
curvature/gHg,0.0093273237026389993,0.0082274368845091355,0.0094685208447587398,0.006598843700805079,0.0097771365329575605,0.00094128413372696063,0.00014119714211974048,1.0151380124268434,True,False,False,False,False
curvature/gg,0.0015963677885821692,0.0020734752336945342,0.0030302984842019705,0.0013496617131256656,0.0022668153261682649,0.0002428234430981854,0.0014339306956198013,1.8982458214678473,True,False,True,False,True
curvature/verdict_code_gradient,1,1,0.5,1,1,0,-0.5,0.5,False,True,False,False,False
curvature/verdict_code_random,1,1,1,1,1,0,0,1,False,False,False,False,False
curvature/verdict_code_update,1,1,1,1,1,0,0,1,False,False,False,False,False
curvature/vhv_gradient,0.0067188824685241845,0.0067636218265817328,0.0075274106320941158,0.0059602576403159913,0.008938704286526173,0.002277777201131358,0.00080852816356993124,1.1203367029201101,True,False,True,False,False
curvature/vhv_random,0.0039527547913670571,0.006466532129512809,0.0048419340628394376,0.0027496618795028339,0.0050740555374181578,0.00070469654625841989,0.00088917927147238052,1.2249517914479229,True,False,False,False,False
curvature/vhv_update,0.0020787374892635643,0.0022130991095741094,0.0022894328416980816,0.0013052993685303874,0.0024755256942851451,7.6058006394159883e-05,0.00021069535243451723,1.1013573640359757,True,False,True,False,False
update/actual,0.028742636980508801,0.032789647734644142,0.018618656583476518,0.02337216612905945,0.043814159831873173,0.0087910797029216448,-0.010123980397032283,0.64777134387851598,False,True,False,False,False
update/direction_norm,0,0,0,0,0,0,0,,False,False,False,False,False
update/loss_after,0.00026175921800190632,0.00029019192417141352,0.00031163909523395565,0.0002170703249600004,0.00028802896055460972,3.6840850852093649e-05,4.9879877232049332e-05,1.190556334989074,True,False,True,False,True
update/loss_before,0.00025322333343225664,0.00023129695428193448,0.0002020613783639311,0.00019734403888918523,0.00033624160878526106,6.7738134592314312e-05,-5.1161955068325539e-05,0.79795718516590575,False,True,False,True,False
update/normalized_residual,0.81889018245634237,0.73545161848212892,0.77902673018959767,0.39297277375683903,1.160333897366036,0.38580794681651986,-0.039863452266744703,0.95132014875649096,False,True,False,False,False
update/p1,0.0030229290984807866,0.0051438754474326335,0.0043620763050958057,0.001729498304389631,0.0040906416964281867,0.00093362978643708001,0.0013391472066150191,1.4429965649171281,True,False,False,False,True
update/p2,0.0044361302022049368,0.0079639003330641799,0.0045669575637273998,0.0033160250462294181,0.0054211612276682947,0.00076032337890036793,0.00013082736152246303,1.0294913258987386,True,False,False,False,False
update/residual_p1,0.02550268033405366,0.037324996103698174,0.023123553122266008,0.020655907111504855,0.031692216544721236,0.0022906517839607968,-0.0023791272117876516,0.90671069940006233,False,True,False,False,False
update/residual_p2,0.8403443918666782,0.86774314974629974,0.77844175471516119,0.42444045084931836,1.172494388299451,0.44637396602356005,-0.061902637151517004,0.92633658563007593,False,True,False,False,False
