metric,run,depth,seed,n,spearman_abs_relative_vs_progress,early_median_abs_relative,late_median_abs_relative
curvature/curv_floor_gradient,d16-s7,16,7,33,-0.92312834224598939,1495.1332395783352,60.299287684310443
curvature/curv_floor_random,d12-s10,12,10,30,-0.049610678531701889,65535.248216110507,36408.641144962392
curvature/curv_floor_random,d12-s11,12,11,30,0.029588431590656286,65533.89441812814,396874.3090733022
curvature/curv_floor_random,d12-s7,12,7,30,0.13948832035595105,3966.6749237541922,36390.902632761718
curvature/curv_floor_random,d12-s8,12,8,30,-0.06918798665183537,35712.722635333863,33128.793243931694
curvature/curv_floor_random,d12-s9,12,9,30,0.0091212458286985543,65531.286692749527,6592.4644757789229
curvature/curv_floor_random,d14-s7,14,7,32,-0.034090909090909088,65519.345640071282,327753.42375981942
curvature/curv_floor_random,d16-s7,16,7,33,0.48295454545454553,5897.6984241811106,36420.783342188901
curvature/curv_floor_update,d12-s10,12,10,30,0.25294771968854285,65532.438300949289,396674.63926023908
curvature/curv_floor_update,d12-s11,12,11,30,0.52569521690767507,6589.3156685638005,3308091.5503411777
curvature/curv_floor_update,d12-s7,12,7,30,0.34727474972191319,5897.3371948951435,727967.08956873766
curvature/curv_floor_update,d12-s8,12,8,30,0.093214682981090105,65553.895204183267,65573.303896293597
curvature/curv_floor_update,d12-s9,12,9,30,0.19110122358175749,7280.7157649784049,65506.079090013169
curvature/curv_floor_update,d14-s7,14,7,32,-0.071114369501466268,65535.430953535528,65566.696772162803
curvature/curv_floor_update,d16-s7,16,7,33,0.34324866310160435,65538.259177645537,6556595.1574398763
curvature/curv_snr_gradient,d12-s10,12,10,30,-0.91190211345939931,0.99940108451003162,0.99118482996131885
curvature/curv_snr_gradient,d12-s11,12,11,30,-0.92925472747497218,0.99960330229630623,0.98941573389744097
curvature/curv_snr_gradient,d12-s7,12,7,30,-0.91234705228031154,0.9994230052951063,0.99100020103160857
curvature/curv_snr_gradient,d12-s8,12,8,30,-0.94438264738598454,0.99954572710921696,0.9933298361544538
curvature/curv_snr_gradient,d12-s9,12,9,30,-0.95016685205784202,0.99967251724673434,0.99132337134579163
curvature/curv_snr_gradient,d14-s7,14,7,32,-0.94978005865102622,0.99951758662766921,0.98389779888481732
curvature/curv_snr_gradient,d16-s7,16,7,33,-0.94451871657754016,0.99937494570149044,0.98362452514761411
curvature/curv_snr_random,d12-s10,12,10,29,-0.65123152709359589,0.97575901269644882,0.8836097737360411
curvature/curv_snr_random,d12-s11,12,11,29,-0.69753694581280778,0.99320928820358556,0.91361039454077064
curvature/curv_snr_random,d12-s7,12,7,28,-0.6885604816639298,0.97209890405556165,0.90386445281918659
curvature/curv_snr_random,d12-s8,12,8,30,-0.83403781979977754,0.98734956184565292,0.9183437441516229
curvature/curv_snr_random,d12-s9,12,9,30,-0.7330367074527252,0.99005616963243126,0.9344418815001434
curvature/curv_snr_random,d14-s7,14,7,31,-0.67419354838709689,0.97808527111097932,0.91607014570694667
curvature/curv_snr_random,d16-s7,16,7,32,-0.49560117302052775,0.95899986895829437,0.91791809182952044
curvature/curv_snr_update,d12-s10,12,10,29,-0.66748768472906383,0.98175284830538334,0.92293522202834888
curvature/curv_snr_update,d12-s11,12,11,30,-0.5684093437152391,0.98743584007285834,0.9375865460906545
curvature/curv_snr_update,d12-s7,12,7,28,-0.61357416529830322,0.97779368434552594,0.91913909092728696
curvature/curv_snr_update,d12-s8,12,8,29,-0.78472906403940867,0.98329896640613756,0.92162169053619858
curvature/curv_snr_update,d12-s9,12,9,29,-0.73645320197044317,0.99277989127966182,0.90742273281731056
curvature/curv_snr_update,d14-s7,14,7,32,-0.6187683284457477,0.97891888859779852,0.94015119982139694
curvature/curv_snr_update,d16-s7,16,7,33,-0.6514037433155081,0.98331258712750746,0.89602964725847567
curvature/dhd,d12-s10,12,10,30,-0.18264738598442715,0.0024774345785502309,0.0024762563961452208
curvature/dhd,d12-s11,12,11,30,-0.28587319243604004,0.0021387354278091975,0.0014012872241608648
curvature/dhd,d12-s7,12,7,30,-0.33882091212458282,0.0024040940564829492,0.0014832158051186629
curvature/dhd,d12-s8,12,8,30,-0.27875417130144603,0.0035589248051347703,0.0019085679540295462
curvature/dhd,d12-s9,12,9,30,-0.14349276974416017,0.0029824607096663259,0.0029240681275244165
curvature/dhd,d14-s7,14,7,32,-0.21260997067448681,0.0020287892651776511,0.0020397179595093365
curvature/dhd,d16-s7,16,7,33,-0.33556149732620322,0.0025421235602235957,0.0025684416693776304
curvature/e_lin_gradient,d12-s10,12,10,30,0.41179087875417131,8880.3221837048968,11406.635577656303
curvature/e_lin_gradient,d12-s11,12,11,30,0.36195773081201332,9370.8141237399559,10636.783879508224
curvature/e_lin_gradient,d12-s7,12,7,30,0.31212458286985539,9017.2473240767868,10469.344343737459
curvature/e_lin_gradient,d12-s8,12,8,30,0.36418242491657399,9503.4573488987626,11135.174635750369
curvature/e_lin_gradient,d12-s9,12,9,30,0.38998887652947722,8996.0812843014191,11243.596718778432
curvature/e_lin_gradient,d14-s7,14,7,32,0.33870967741935482,8100.4610510228267,9493.4460966748175
curvature/e_lin_gradient,d16-s7,16,7,33,0.21189839572192515,9642.3124243799757,9198.5879690914626
curvature/e_lin_random,d12-s10,12,10,30,-0.79621802002224684,15646.843722205615,13336.043809159419
curvature/e_lin_random,d12-s11,12,11,30,-0.74994438264738594,15717.399860555281,13875.370157706682
