metric,n_runs,n_nonconstant_run_correlations,spearman_q1_across_runs,spearman_median_across_runs,spearman_q3_across_runs,runs_positive_spearman,runs_negative_spearman,early_q1_across_runs,early_median_across_runs,early_q3_across_runs,late_q1_across_runs,late_median_across_runs,late_q3_across_runs,late_minus_early,late_to_early_ratio
curvature/curv_floor_update,7,7,0.1421579532814238,0.25294771968854285,0.3452617064117588,6,1,6935.0157167711022,65532.438300949289,65536.845065590533,65570.0003342282,396674.63926023908,2018029.3199549578,331142.2009592898,6.0531036162360063
curvature/curv_snr_gradient,7,7,-0.94714938761428313,-0.94438264738598454,-0.92080088987764186,0,7,0.99941204490256896,0.99951758662766921,0.9995745147027616,0.9866567663911292,0.99100020103160857,0.99125410065355524,-0.0085173855960606337,0.99147850352008515
curvature/curv_snr_random,7,7,-0.71528682663276655,-0.6885604816639298,-0.66271253774034644,0,7,0.97392895837600524,0.97808527111097932,0.98870286573904209,0.90873742367997856,0.91607014570694667,0.91813091799057167,-0.062015125404032645,0.93659537952801253
curvature/curv_snr_update,7,7,-0.70197044334975356,-0.6514037433155081,-0.61617124687202551,0,7,0.98033586845159093,0.98329896640613756,0.98537421360018285,0.91328091187229876,0.92162169053619858,0.93026088405950169,-0.061677275869938986,0.93727515437612685
curvature/dhd,7,7,-0.31071734488112163,-0.27875417130144603,-0.19762867832945696,0,7,0.0022714147421460731,0.0024774345785502309,0.002762292134944961,0.0016958918795741047,0.0020397179595093365,0.0025223490327614256,-0.00043771661904089439,0.82331859624844594
curvature/e_lin_gradient,7,7,0.3254171301446051,0.36195773081201332,0.37708565072302558,7,0,8938.201734003158,9017.2473240767868,9437.1357363193601,9981.3952202061373,10636.783879508224,11189.385677264399,1619.5365554314376,1.1796043179504618
curvature/e_lin_random,7,7,-0.82750278086763063,-0.79621802002224684,-0.75750834260289202,0,7,15302.160193791906,15717.399860555281,15992.287138358992,11808.399674343822,13336.043809159419,13864.486680669828,-2381.3560513958619,0.84848918570989829
curvature/e_lin_update,7,7,-0.89388209121245821,-0.88520578420467178,-0.84516129032258069,0,7,17483.581459245237,17743.192868047408,18051.675444131895,11575.017451581612,13088.340353915008,13924.443945820611,-4654.8525141324008,0.73765417821078694
curvature/e_sym_gradient,7,7,-0.063403781979977744,0.028253615127919914,0.17708040871318698,4,3,6841.5539023745214,7514.2428746690557,12348.744602327086,3158.9055216449797,6517.3328531557072,8324.144843515096,-996.91002151334851,0.86733060959820851
curvature/e_sym_random,7,7,-0.21757508342602888,-0.18783422459893048,0.059844271412680755,3,4,11409.959540543594,14335.685309138171,17948.437198325235,5763.8240638717689,9838.5925172404732,12160.212146900289,-4497.0927918976977,0.68630081541821641
curvature/e_sym_update,7,7,-0.63336409141470318,-0.54927697441601786,-0.45539488320355959,0,7,34943.046005522425,50761.232197882811,73303.680933532567,4909.0811468663069,7222.2737035102291,8552.8986978596658,-43538.958494372579,0.14227932204946478
curvature/eta_star,7,7,-0.083313755210306928,0.0071794871794871786,0.033139657277588302,4,3,0.0039856498454983727,0.0055480022502063017,0.007658485137760164,0.0026691247468828309,0.0058387000821725644,0.0070387081383772422,0.00029069783196626273,1.0523968482448711
curvature/eta_star_rho,7,7,-0.34188302659520681,-0.25739710789766407,-0.21579532814238039,0,7,0.0028808258432007085,0.0037745498568564229,0.0044406153101911768,0.0011922334034158086,0.0017117033602036603,0.0018664060688275762,-0.0020628464966527624,0.45348542875764969
curvature/eta_star_rho_threshold,7,0,,,,0,0,65535,65535,65535,65535,65535,65535,0,1
curvature/fd_conclusive_gradient,7,0,,,,0,0,1,1,1,1,1,1,0,1
curvature/fd_conclusive_random,7,0,,,,0,0,1,1,1,1,1,1,0,1
curvature/fd_conclusive_update,2,0,,,,0,0,1,1,1,,,,,
curvature/fd_eps_gradient,7,7,0.73679658892664412,0.79959453089920418,0.83746937547198474,7,0,9,9,9,28.999999999999996,64,99,55,7.1111111111111107
curvature/fd_eps_random,7,7,0.42145570374215269,0.47425835853804232,0.50782218612057384,7,0,0,0,0,0.5,0.66666666666666663,0.78333333333333333,0.66666666666666663,
curvature/fd_eps_update,7,7,0.33875555882683411,0.40688973939518847,0.46841312998413215,7,0,0,0,0,0.5,0.78333333333333333,0.78333333333333333,0.78333333333333333,
curvature/fd_floor_gradient,7,7,-0.6547274749721913,-0.57241379310344831,-0.43886768126200826,0,7,6557.2545829801147,6557.8432387740004,6562.6588830599976,660.34997852430183,1434.1399050801094,2211.7674032768955,-5123.7033336938912,0.21869078794085725
curvature/fd_floor_random,7,7,0.39977879462028515,0.49187986651835364,0.5443826473859843,7,0,65531.836087149284,65541.200871291832,65545.758410260067,163725.94821901328,196653.32620861009,426478.74359431129,131112.12533731826,3.0004535100721292
curvature/fd_floor_update,7,7,0.29276974416017798,0.37793255131964809,0.48943270300333702,7,0,65542.486867354135,65558.462814688653,65595.817620028451,163610.32568357274,425621.28754728229,426005.48930957413,360062.82473259361,6.4922401971255495
curvature/fd_snr_gradient,7,7,-0.71857619577308118,-0.61824249165739709,-0.48798657748062313,0,7,0.99984632496172421,0.99984753210400601,0.99984868344830935,0.99848891084928482,0.99901471592439428,0.99954506616954963,-0.00083281617961172838,0.99916705682329465
curvature/fd_snr_random,7,7,-0.6324805339265851,-0.61557285873192435,-0.48899534836687225,0,7,0.99912449075476828,0.99920938408311089,0.99923662058732265,0.9987615342768803,0.99878976822105681,0.99883190140932732,-0.00041961586205407908,0.99958005212046808
curvature/fd_snr_update,7,7,-0.92502780867630696,-0.91234705228031154,-0.89552425303218663,0,7,0.99799915908809833,0.99829107888716329,0.99844453335762995,0.98906864690827589,0.98922022703091206,0.99006420693004693,-0.0090708518562512275,0.99091362023753349
curvature/gHg,7,7,-0.25739710789766401,-0.12925472747497219,0.001662274779463813,2,5,0.007316068207252834,0.01146184547910372,0.015458289153841648,0.0035911995207248133,0.004219640398386351,0.0081665458048524424,-0.0072422050807173692,0.36814668336606415
curvature/gg,7,7,0.24314010516735765,0.31301446051167958,0.35127919911012234,7,0,0.00080612325567149803,0.00092269487054424449,0.00099505592867289196,0.0012732852969670008,0.0015069556799554417,0.0017319644490359437,0.00058426080941119721,1.6332112901706883
curvature/verdict_code_gradient,7,1,0,0,0,0,0,1,1,1,,,,,
curvature/verdict_code_random,7,2,-0.22459047960641593,-0.21148264462361718,-0.19837480964081844,0,2,1,1,1,1,1,1,0,1
curvature/verdict_code_update,7,1,0.010727086497211297,0.010727086497211297,0.010727086497211297,1,0,1,1,1,1,1,1,0,1
curvature/vhv_gradient,7,7,-0.2649610678531702,-0.17346256684491981,-0.088320355951056723,0,7,0.0075570080235440257,0.011471064092183412,0.013973543552475463,0.0025703727482464973,0.0058734542121728116,0.0068481345803886231,-0.0055976098800105999,0.51202348491584915
curvature/vhv_random,7,7,-0.20815496868177955,-0.13548387096774192,-0.090940691677621588,1,6,0.0031288326921927768,0.0060957682173313366,0.0066882118486323262,0.0024263924426629001,0.0031788198878001618,0.0036860832446237654,-0.0029169483295311749,0.52147978309972809
curvature/vhv_update,7,7,-0.21419409861224295,-0.12035595105672969,-0.10369855394883203,0,7,0.0022511534075618572,0.0023523148078863571,0.0024271433378487322,0.001803242928476388,0.002215786872673159,0.0031978117924075294,-0.00013652793521319812,0.94196017694762824
update/actual,7,7,0.57404439275963193,0.6587319243604004,0.70652366265547573,7,0,0.01218780334600052,0.012634348141080991,0.014228427522005479,0.23491697507032802,0.34548232956798064,0.4201858913165385,0.33284798142689964,27.344689706992774
update/direction_norm,7,0,,,,0,0,0,0,0,0,0,0,0,
update/loss_after,7,7,0.28342602892102337,0.3543937708565072,0.45626524272364422,7,0,0.00014556619035026704,0.00019662118442583513,0.00020614106543218524,0.00044984340468442265,0.00049448768692971043,0.00059515915879395829,0.0002978665025038753,2.5149257867288943
update/loss_before,7,7,0.37695872716565643,0.44204671857619582,0.45494994438264735,7,0,0.00010187791419234189,0.00013500252046974814,0.00015489162631554082,0.00038111832518946857,0.00042613048988832824,0.00045442140133757699,0.0002911279694185801,3.1564632156909775
update/normalized_residual,7,7,0.38887652947719686,0.39933259176863178,0.41015288080041401,7,0,0.19395750161580855,0.27203225927259606,0.38487925999410011,31.836648598340091,70.230006708688222,175.49417275668748,69.95797444941563,258.1679352900299
update/p1,7,7,0.41646273637374859,0.44872080088987759,0.5396437961371221,7,0,0.0010785641672388078,0.0018412286458858458,0.0022294817340945986,0.0080978149020612348,0.0090582960618396727,0.017966478491568575,0.0072170674159538267,4.9197018969263189
update/p2,7,7,0.26629588431590656,0.36418242491657399,0.40272986027255475,7,0,0.0028669771289221539,0.0037291675768472976,0.0041090851651691823,0.0073386369763003279,0.011748886042723969,0.012434350093441977,0.0080197184658766709,3.1505385050721371
update/residual_p1,7,7,0.30545432982577192,0.34015572858731924,0.42558398220244714,7,0,0.012237074365151458,0.013489271366093313,0.015751675928218949,0.34624731898954497,0.53213273611493606,0.71193339943725498,0.51864346474884271,39.448590044122554
update/residual_p2,7,7,0.38820912124582868,0.40600667408231367,0.43635177678109371,7,0,0.20702978334275135,0.29243231775212059,0.39778030073692328,38.334817189104385,180.33699528968509,258.54763252421412,180.04456297193298,616.6794309052641
