segment,step,metric,run,run_id,depth,seed,normalized_progress,native,shadow,absolute_difference,shadow_is_zero,signed_relative_difference,absolute_relative_difference,sign_disagreement
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/fd_floor_random,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,0.54473515247425175,8.3113054927481304e-06,0.54472684116875902,False,65540.466734624293,65540.466734624293,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/fd_floor_update,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,0.54473538179893088,8.3113055173851814e-06,0.54472707049341351,False,65540.494132237131,65540.494132237131,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/fd_snr_gradient,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,0.58254870507163847,38195.66129923363,38195.078750528555,False,-0.99998474830163275,0.99998474830163275,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/fd_snr_random,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,0.0075498978049993275,382.02563836808173,382.01808847027672,False,-0.99998023719602369,0.99998023719602369,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/fd_snr_update,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,0.005144805080569928,141.80245000254524,141.79730519746468,False,-0.999963718503591,0.999963718503591,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/gHg,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,-5.1667552863553039e-05,-6.4934176458653745e-05,1.3266623595100706e-05,False,0.20430879882719555,0.20430879882719555,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/gg,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,4.3755569244241554,4.3748262023995919,0.00073072202456359037,False,0.00016702881229036925,0.00016702881229036925,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/verdict_code_gradient,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,2,1,1,False,1,1,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/verdict_code_random,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,2,1,1,False,1,1,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/verdict_code_update,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,2,1,1,False,1,1,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/vhv_gradient,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,-8.2033200654674658e-06,-1.4842049592344362e-05,6.6387295268768962e-06,False,0.44729196500604618,0.44729196500604618,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/vhv_random,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,2.6646269150088102e-06,2.6655417046109761e-06,9.1478960216592051e-10,False,-0.00034319087958124069,0.00034319087958124069,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/vhv_update,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,2.0278985582052599e-07,2.0201011274088005e-07,7.7974307964593083e-10,False,0.003859921016162757,0.003859921016162757,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,update/actual,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,-0.036040306091308594,-0.036149024963378906,0.0001087188720703125,False,0.0030075187969924814,0.0030075187969924814,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,update/direction_norm,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,33.015093012825091,33.015093012825091,0,False,0,0,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,update/loss_after,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,10.364092826843262,10.364001274108887,9.1552734375e-05,False,8.8337247317515264e-06,8.8337247317515264e-06,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,update/loss_before,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,10.40013313293457,10.400150299072266,1.71661376953125e-05,False,-1.650566309300721e-06,1.650566309300721e-06,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,update/normalized_residual,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,0.0032025714155398512,0.00010925675175565848,0.0030933146637841928,False,28.312343302151923,28.312343302151923,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,update/p1,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,-0.036266883726224677,-0.03626307007757737,3.8136486473078213e-06,False,-0.00010516618254188919,0.00010516618254188919,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,update/p2,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,-0.03615609857911551,-0.036152974919984968,3.1236591305425221e-06,False,-8.6401164425774484e-05,8.6401164425774484e-05,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,update/residual_p1,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,0.00022657763491608363,0.0001140451141984633,0.00011253252071762032,False,0.98673688485934841,0.98673688485934841,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,update/residual_p2,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,0.00011579248780691637,3.9499566060613445e-06,0.00011184253120085502,False,28.31487592274528,28.31487592274528,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/Hg_norm,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,0.68345486293032853,0.68350191989398135,4.7056963652813977e-05,False,-6.8846863897782505e-05,6.8846863897782505e-05,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/arith_eps,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,0.0078125,1.1920928955078125e-07,0.0078123807907104492,False,65535,65535,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/c_fd_gradient,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,0.015544891357421872,-0.00019073486328124997,0.015735626220703122,False,82.5,82.5,True
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/c_fd_random,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,0.2384185791015625,-0.0095367431640625,0.247955322265625,False,26,26,True
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/c_fd_update,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,0.0034332275390624991,0,0.0034332275390624991,True,,,True
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/curv_eps_gradient,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,0.10000000000000001,0.10000000000000001,0,False,0,0,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/curv_eps_random,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,0.01,0.01,0,False,0,0,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/curv_eps_update,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,0.10000000000000001,0.0030000000000000001,0.097000000000000003,False,32.333333333333336,32.333333333333336,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/curv_floor_gradient,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,32.387911528348916,0.00049419406877859718,32.387417334280137,False,65535.827684710544,65535.827684710544,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/curv_floor_random,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,3238.7808710336685,0.049419408014728106,3238.7314516256538,False,65535.618125179448,65535.618125179448,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/curv_floor_update,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,32.387816905975335,0.54910454612884985,31.838712359846486,False,57.982969881249879,57.982969881249879,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/curv_snr_gradient,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,0.00047995967087336073,0.38595134043727403,0.38547138076640064,False,-0.99875642439710244,0.99875642439710244,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,curvature/curv_snr_random,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00079365079365079365,7.3613680145477199e-05,0.19297566577932973,0.19290205209918426,False,-0.99961853387136568,0.99961853387136568,False
