rank,tier,metric,acceptance_arm,family,direction,probe_sampled,certification,raw_rows_five_runs,selected_defined_rows_five_runs,union_row_keys,aligned_row_keys,row_key_coverage,aligned_elements,early_elements,late_elements,vector_length_mismatch_keys,typical_absolute_spread,worst_absolute_spread,typical_relative_spread,worst_relative_spread,early_typical_relative_spread,late_typical_relative_spread,zero_median_fraction,infinite_relative_fraction,utility_band,flags
159,periodic,attn/validation_max_abs_err,none,periodic:attn/validation_max_abs_err,none,True,not_applicable,375,375,75,75,1.0,75,12,63,0,0.005443572998046875,0.05316734313964844,0.1525045815516188,0.7622991168379905,0.15677492733396975,0.1525045815516188,0.0,0.0,intermediate,probe
160,sparse,curvature/e_lin_update,native,sparse:curvature/e_lin_update [native],update,True,uncertified_native_raw,150,150,30,30,1.0,30,12,18,0,0.0017535948830132405,0.018338957254769486,0.1532292300921152,0.7476822777756317,0.1368117844107199,0.16751679080190068,0.0,0.0,intermediate,"probe,uncertified"
161,sparse,curvature/fd_sweep_snr_update,native,sparse:curvature/fd_sweep_snr_update [native],update,True,uncertified_native_raw,150,150,30,30,1.0,180,72,108,0,0.08743754029273987,0.5236544609069824,0.15339005419818647,19.080823936011576,0.22116125796046915,0.12705090207445024,0.0,0.0,intermediate,"probe,uncertified"
162,periodic,probe/mlp_out_stats_quantiles,none,periodic:probe/mlp_out_stats_quantiles,none,True,not_applicable,3000,3000,600,600,1.0,4200,672,3528,0,0.625,5.6875,0.16022099447513813,8061.672727272728,0.4754061176877214,0.14855461449759433,0.0,0.0,intermediate,probe
163,sparse,curvature/e_lin_gradient,shadow_fp32,sparse:curvature/e_lin_gradient [shadow_fp32],gradient,True,passing_direction_only,150,129,26,25,0.9615384615384616,25,7,18,0,7.581459229366185e-08,2.6335731120132166e-07,0.16092258113284486,0.5842889277686653,0.15470017112963322,0.1651707349089625,0.0,0.0,intermediate,"probe,pass-only"
164,periodic,muon/cos_nesterov_final,none,periodic:muon/cos_nesterov_final,none,False,not_applicable,9750,9480,1896,1896,1.0,1896,258,1638,0,0.06265762936485086,0.44959037297745164,0.17240744038782763,1.0865799652906722,0.24221808679033918,0.16318394599972816,0.0,0.0,intermediate,-
165,sparse,curvature/eta_star_rho,native,sparse:curvature/eta_star_rho [native],gradient,True,uncertified_native_raw,150,150,30,30,1.0,30,12,18,0,0.06708007598300647,0.5332698508020348,0.17467722552572723,3.360510005351267,0.22784845118598687,0.1500154248658578,0.0,0.0,intermediate,"probe,uncertified"
166,sparse,curvature/curv_snr_gradient,shadow_fp32,sparse:curvature/curv_snr_gradient [shadow_fp32],gradient,True,passing_direction_only,150,129,26,25,0.9615384615384616,25,7,18,0,51.241803600217935,78.1181974862848,0.17648116190515586,0.28295227155365865,0.2238362095205289,0.17368031449260002,0.0,0.0,intermediate,"probe,pass-only"
167,periodic,optim/muon_momentum_norm,none,periodic:optim/muon_momentum_norm,none,False,not_applicable,9750,9360,1872,1872,1.0,1872,234,1638,0,0.00011772915604524314,0.0047155036590993404,0.18219063761032755,2.522987927123586,0.3534954212050944,0.16374113011987296,0.0,0.0,intermediate,-
168,periodic,optim/muon_momentum_rms,none,periodic:optim/muon_momentum_rms,none,False,not_applicable,9750,9360,1872,1872,1.0,1872,234,1638,0,1.5207132264549728e-07,5.957603934803046e-05,0.18219070656554148,2.5229877532177367,0.35349544637034414,0.1637410805590038,0.0,0.0,intermediate,-
169,sparse,curvature/e_lin_gradient,native,sparse:curvature/e_lin_gradient [native],gradient,True,uncertified_native_raw,150,150,30,30,1.0,30,12,18,0,0.001127083992046396,0.014669451979576469,0.18454431857219533,1.93267802357045,0.37538333958152437,0.18128231512613047,0.0,0.0,intermediate,"probe,uncertified"
170,periodic,muon/cos_raw_final,none,periodic:muon/cos_raw_final,none,False,not_applicable,9750,9480,1896,1896,1.0,1896,258,1638,0,0.03283461289452665,0.3843199079517212,0.18460491240677956,1.0613083457593713,0.2104696177207785,0.17763679424161993,0.0,0.0,intermediate,-
171,sparse,curvature/fd_sweep_cos_gradient,native,sparse:curvature/fd_sweep_cos_gradient [native],gradient,True,uncertified_native_raw,150,150,30,30,1.0,180,72,108,0,0.10731977224349976,0.5530406534671783,0.1896190438210567,9.444814931351864,0.15547591203790298,0.2110590404237429,0.0,0.0,intermediate,"probe,uncertified"
172,periodic,probe/ve_gate_std,none,periodic:probe/ve_gate_std,none,True,not_applicable,1500,1500,300,300,1.0,300,48,252,0,0.1312541365623474,0.4358040392398834,0.19329603894222552,0.7653464899848136,0.19929835159945325,0.19298507320460465,0.0,0.0,intermediate,probe
173,sparse,curvature/gg,native,sparse:curvature/gg [native],gradient,True,uncertified_native_raw,150,150,30,30,1.0,30,12,18,0,1.4833126334375621,6.325715179334784,0.1937159913896057,0.5711492355041634,0.10391592779767211,0.24379402430062752,0.0,0.0,intermediate,"probe,uncertified"
174,periodic,probe/backout_term_norm,none,periodic:probe/backout_term_norm,none,True,not_applicable,250,250,50,50,1.0,50,8,42,0,5235.203125,142434.53125,0.19705467948691185,1.1351464467189494,0.6222718215509281,0.19451041577620115,0.0,0.0,intermediate,probe
