run,metric,n,n_ramp,n_body,n_wd,med_ramp,med_body,med_wd,med_pre,ratio_wd_over_pre,ratio_wd_over_body,sp_pre,sp_wd,sp_all,med_tail,sp_tail
d12-s8,curvature/Hg_norm,26,9,3,14,7.809685508047123,9.39077689095571,49.91056175908515,8.438769572441306,5.9144359056892934,5.314849062930478,0.38461538461538464,0.8989010989010989,0.7463247863247863,56.5295732031514,0.47619047619047616
d12-s8,update/direction_norm,26,9,3,14,745.1625986514217,724.8620538442336,421.9787058318257,738.1565723451168,0.5716655810449579,0.5821503603256699,0.36363636363636365,-1.0,-0.6266666666666667,253.32126217193405,-1.0
d12-s9,curvature/gHg,25,8,3,14,7.992014475161236,9.318886568302132,119.7708736030169,9.318886568302132,12.852487550434764,12.852487550434764,0.2818181818181818,0.7626373626373626,0.8838461538461538,127.74668366917457,0.0
d12-s9,curvature/eta_star,25,8,3,14,0.5098781327042321,0.4265832373209262,0.08964580824843975,0.4265832373209262,0.2101484549919096,0.2101484549919096,-0.2818181818181818,-0.6175824175824176,-0.8515384615384616,0.0866987639581437,0.2619047619047619
d12-s9,curvature/dhd,25,8,3,14,0.17066240752722855,0.1360863892612299,0.0283530607235889,0.1573539384437064,0.18018653364518264,0.20834604310915095,-0.21818181818181817,-0.9956043956043956,-0.9246153846153846,0.007546375818429001,-1.0
d12-s9,curvature/vhv_gradient,25,8,3,14,2.0190548542750086,2.3442084413853213,11.155020763580199,2.3442084413853213,4.758544746553376,4.758544746553376,0.2818181818181818,0.6175824175824176,0.8515384615384616,11.538644205344838,-0.2619047619047619
d12-s9,curvature/e_curv_gradient,25,8,3,14,0.0009284331977937,0.0013030380221422,0.00170317702228205,0.0010350352800517,1.6455255729997689,1.3070815995699188,0.2636363636363636,0.3142857142857143,0.16307692307692306,0.00119388917702215,0.30952380952380953
d12-s9,curvature/gg,25,8,3,14,3.462536286599826,3.97528080053282,10.417220829513399,3.866329058754872,2.6943440848431566,2.620499369030018,0.5181818181818182,0.8857142857142857,0.9307692307692308,11.211245168007238,0.40476190476190477
d12-s9,curvature/Hg_norm,25,8,3,14,8.747492348221868,9.777034462400447,65.4603376111918,8.903625961600564,7.35209878464215,6.695316239595217,0.42727272727272725,0.8769230769230769,0.9092307692307692,70.47459679786766,0.35714285714285715
d12-s9,update/direction_norm,25,8,3,14,765.6051693430368,745.6948708781354,422.2234785961495,751.2659726397479,0.5620159756638106,0.5662148086105732,0.2909090909090909,-1.0,-0.7553846153846154,253.36220769994995,-1.0
d14-s7,curvature/gHg,28,10,3,15,6.359510402199915,14.013058804155158,375.1818054630892,7.568335039041982,49.57256827659952,26.77372661505139,0.12637362637362637,0.7178571428571429,0.8467432950191571,479.3852238226036,-0.19047619047619047
