run,step,normalized_progress,code
d12-s8,1386,0.55,1.0
d12-s8,1512,0.6,1.0
d12-s8,1638,0.65,1.0
d12-s8,1764,0.7,1.0
d12-s8,1890,0.75,1.0
d12-s8,2016,0.8,1.0
d12-s8,2142,0.85,1.0
d12-s8,2268,0.9,1.0
d12-s8,2394,0.95,1.0
d12-s8,2520,1.0,1.0
d12-s9,1,0.0003968253968253968,1.0
d12-s9,2,0.0007936507936507937,1.0
d12-s9,3,0.0011904761904761906,1.0
d12-s9,5,0.001984126984126984,1.0
d12-s9,9,0.0035714285714285713,1.0
d12-s9,17,0.006746031746031746,1.0
d12-s9,33,0.013095238095238096,1.0
d12-s9,41,0.01626984126984127,1.0
d12-s9,65,0.025793650793650792,1.0
d12-s9,127,0.0503968253968254,1.0
d12-s9,253,0.1003968253968254,1.0
d12-s9,379,0.1503968253968254,1.0
d12-s9,401,0.15912698412698412,1.0
d12-s9,505,0.2003968253968254,1.0
d12-s9,631,0.2503968253968254,1.0
d12-s9,757,0.3003968253968254,1.0
d12-s9,883,0.3503968253968254,1.0
d12-s9,1009,0.4003968253968254,1.0
d12-s9,1135,0.4503968253968254,1.0
d12-s9,1261,0.5003968253968254,1.0
d12-s9,1386,0.55,1.0
d12-s9,1512,0.6,1.0
d12-s9,1638,0.65,1.0
d12-s9,1764,0.7,1.0
d12-s9,1890,0.75,1.0
d12-s9,2016,0.8,1.0
d12-s9,2142,0.85,1.0
d12-s9,2268,0.9,1.0
d12-s9,2394,0.95,1.0
d12-s9,2520,1.0,1.0
d12-s10,1,0.0003968253968253968,1.0
d12-s10,2,0.0007936507936507937,1.0
d12-s10,3,0.0011904761904761906,1.0
d12-s10,5,0.001984126984126984,1.0
d12-s10,9,0.0035714285714285713,1.0
d12-s10,17,0.006746031746031746,1.0
d12-s10,33,0.013095238095238096,1.0
d12-s10,41,0.01626984126984127,1.0
d12-s10,65,0.025793650793650792,1.0
d12-s10,127,0.0503968253968254,1.0
d12-s10,253,0.1003968253968254,1.0
d12-s10,379,0.1503968253968254,1.0
d12-s10,401,0.15912698412698412,1.0
d12-s10,505,0.2003968253968254,1.0
d12-s10,631,0.2503968253968254,2.0
d12-s10,757,0.3003968253968254,1.0
d12-s10,883,0.3503968253968254,1.0
d12-s10,1009,0.4003968253968254,1.0
d12-s10,1135,0.4503968253968254,1.0
d12-s10,1261,0.5003968253968254,1.0
d12-s10,1386,0.55,1.0
d12-s10,1512,0.6,1.0
d12-s10,1638,0.65,1.0
d12-s10,1764,0.7,1.0
d12-s10,1890,0.75,1.0
d12-s10,2016,0.8,1.0
d12-s10,2142,0.85,1.0
d12-s10,2268,0.9,1.0
d12-s10,2394,0.95,1.0
d12-s10,2520,1.0,1.0
d12-s11,1,0.0003968253968253968,1.0
d12-s11,2,0.0007936507936507937,1.0
d12-s11,3,0.0011904761904761906,1.0
d12-s11,5,0.001984126984126984,1.0
d12-s11,9,0.0035714285714285713,1.0
d12-s11,17,0.006746031746031746,1.0
d12-s11,33,0.013095238095238096,1.0
d12-s11,41,0.01626984126984127,1.0
d12-s11,65,0.025793650793650792,1.0
d12-s11,127,0.0503968253968254,1.0
d12-s11,253,0.1003968253968254,1.0
d12-s11,379,0.1503968253968254,1.0
d12-s11,401,0.15912698412698412,1.0
d12-s11,505,0.2003968253968254,1.0
d12-s11,631,0.2503968253968254,1.0
d12-s11,757,0.3003968253968254,1.0
d12-s11,883,0.3503968253968254,1.0
d12-s11,1009,0.4003968253968254,2.0
d12-s11,1135,0.4503968253968254,1.0
d12-s11,1261,0.5003968253968254,1.0
d12-s11,1386,0.55,1.0
d12-s11,1512,0.6,1.0
d12-s11,1638,0.65,1.0
d12-s11,1764,0.7,1.0
d12-s11,1890,0.75,2.0
d12-s11,2016,0.8,1.0
d12-s11,2142,0.85,1.0
d12-s11,2268,0.9,1.0
d12-s11,2394,0.95,1.0
d12-s11,2520,1.0,1.0
d14-s7,1,0.00026602819898909286,1.0
d14-s7,2,0.0005320563979781857,1.0
d14-s7,3,0.0007980845969672786,1.0
d14-s7,5,0.0013301409949454642,1.0
d14-s7,9,0.0023942537909018356,1.0
d14-s7,17,0.004522479382814578,1.0
d14-s7,33,0.008778930566640064,1.0
d14-s7,41,0.010907156158552806,1.0
d14-s7,65,0.017291832934291033,1.0
d14-s7,129,0.034317637669592976,1.0
d14-s7,189,0.05027932960893855,1.0
d14-s7,377,0.100292631018888,1.0
d14-s7,401,0.10667730779462622,1.0
d14-s7,565,0.15030593242883747,1.0
d14-s7,753,0.20031923383878691,1.0
d14-s7,941,0.2503325352487364,1.0
d14-s7,1128,0.30007980845969673,1.0
d14-s7,1316,0.3500931098696462,1.0
d14-s7,1317,0.3503591380686353,1.0
d14-s7,1504,0.4001064112795956,1.0
d14-s7,1692,0.4501197126895451,1.0
d14-s7,1880,0.5001330140994945,2.0
d14-s7,2068,0.550146315509444,1.0
d14-s7,2256,0.6001596169193935,1.0
d14-s7,2444,0.6501729183293429,1.0
d14-s7,2632,0.7001862197392924,1.0
d14-s7,2820,0.7501995211492418,1.0
d14-s7,3007,0.7999467943602022,2.0
d14-s7,3195,0.8499600957701516,1.0
d14-s7,3383,0.899973397180101,1.0
d14-s7,3571,0.9499866985900506,1.0
d14-s7,3759,1.0,1.0
d16-s7,1,0.00018601190476190475,1.0
d16-s7,2,0.0003720238095238095,2.0
d16-s7,3,0.0005580357142857143,2.0
d16-s7,5,0.0009300595238095238,1.0
d16-s7,9,0.0016741071428571428,1.0
d16-s7,17,0.003162202380952381,1.0
d16-s7,33,0.006138392857142857,1.0
d16-s7,41,0.007626488095238095,1.0
d16-s7,65,0.01209077380952381,1.0
d16-s7,129,0.023995535714285716,1.0
d16-s7,257,0.04780505952380952,1.0
d16-s7,270,0.05022321428571429,1.0
d16-s7,401,0.07459077380952381,1.0
d16-s7,539,0.10026041666666667,1.0
d16-s7,807,0.15011160714285715,1.0
d16-s7,1076,0.20014880952380953,1.0
d16-s7,1345,0.2501860119047619,1.0
d16-s7,1614,0.3002232142857143,1.0
d16-s7,1882,0.35007440476190477,1.0
d16-s7,1883,0.3502604166666667,1.0
d16-s7,2151,0.40011160714285715,1.0
d16-s7,2420,0.45014880952380953,1.0
d16-s7,2689,0.5001860119047619,1.0
d16-s7,2957,0.5500372023809523,1.0
d16-s7,3226,0.6000744047619048,1.0
d16-s7,3495,0.6501116071428571,1.0
d16-s7,3764,0.7001488095238095,1.0
d16-s7,4032,0.75,1.0
d16-s7,4301,0.8000372023809523,1.0
d16-s7,4570,0.8500744047619048,1.0
d16-s7,4839,0.9001116071428571,1.0
d16-s7,5107,0.9499627976190477,1.0
d16-s7,5376,1.0,1.0
