metric,p,n,median,lo,hi,sd,sd_rel,range_rel
curvature/Hg_norm,0.200397,5,8.185134308281881,5.322554220156081,8.676950811954656,1.3385621558418836,0.1635357595155769,0.40981570557791946
curvature/Hg_norm,0.250397,5,9.39077689095571,7.935254481105662,9.777034462400447,0.8119739028177083,0.08646504035248918,0.196126476294907
curvature/Hg_norm,0.300397,5,10.765188564828795,8.313218509241198,12.296497420631413,1.468662793482256,0.13642703837818126,0.3700147830576866
curvature/Hg_norm,0.350397,5,14.539628895445915,10.18051647080022,25.10775938796417,5.845193820804058,0.40201808882721085,1.0266591413374686
curvature/Hg_norm,0.400397,5,19.75215479319513,12.622988337372597,40.5002446733842,11.875248404942676,0.6012128058572046,1.411352666475441
curvature/Hg_norm,0.450397,5,23.553126506510708,17.971805195769043,44.38369677611289,10.204412456474058,0.43325086602210916,1.1213751844385884
curvature/Hg_norm,0.500397,5,42.41284490983037,19.31499513652803,72.94483498099834,21.852337387651627,0.5152292291193777,1.2644716467024848
curvature/Hg_norm,0.55,5,55.65024527302708,36.15639676145551,72.30963556410987,13.737459973967978,0.24685353867840612,0.6496510235540209
curvature/Hg_norm,0.6,5,60.00367645263897,36.38874503713965,76.0184848943313,16.143416632326602,0.2690404586303747,0.6604551954157589
curvature/Hg_norm,0.65,5,57.09764096260711,44.08140921791231,80.33966165886318,13.19145165252022,0.23103321661150975,0.63502189984865
curvature/Hg_norm,0.7,5,65.81122154352082,45.27135846308894,80.86930148350048,13.620836547423425,0.20696829853577473,0.5409099266888808
curvature/Hg_norm,0.75,5,73.66560698831492,55.9615054436957,100.9253622371596,17.346570356520562,0.23547719303082823,0.610377876891671
curvature/Hg_norm,0.8,5,69.99583618552127,55.91939457478376,97.69104046185451,15.875513676762154,0.22680654367332245,0.596773296290891
curvature/Hg_norm,0.85,5,74.78530047543734,59.50829057241195,92.57648290136994,12.387254359737009,0.16563755552209766,0.44217502796313546
curvature/Hg_norm,0.9,5,78.00792897184301,54.54976505508136,83.28752371078218,11.528908768335848,0.14779149915000578,0.36839535460650064
curvature/Hg_norm,0.95,5,74.8325821632381,60.90067729495773,88.18416390294469,10.962100883363956,0.14648834192907412,0.36459368124530805
curvature/Hg_norm,1.0,5,70.97419166731912,57.44348523261391,82.35653435712719,9.778442775965928,0.13777462689255993,0.35101560918494795
curvature/eta_star_rho,0.006746,5,0.591848119789394,0.5563477698703553,0.6114684386470083,0.021703320310195073,0.03667042199596424,0.09313313151398943
curvature/eta_star_rho,0.013095,5,0.5659270599410441,0.5445966718653577,0.5809385292354444,0.015211482188806358,0.02687887409093148,0.06421650410897954
curvature/eta_star_rho,0.01627,5,0.6055238674708995,0.5662189796320769,0.6256652764490624,0.024669689602433688,0.040741068895387963,0.09817333388570755
curvature/eta_star_rho,0.025794,5,0.6737506889303534,0.6185935132698317,0.6788410792875108,0.030014795844149643,0.044548816553792524,0.08942115682779954
curvature/eta_star_rho,0.050397,5,0.4916011381104792,0.4066209790390307,0.5202945034919719,0.04849028576525406,0.09863745627528771,0.2312312068476029
curvature/eta_star_rho,0.100397,5,0.4414070953560368,0.3643143800459081,0.4522487035674413,0.035337933314402374,0.08005746551468315,0.19921366114562747
curvature/eta_star_rho,0.150397,5,0.4055224403044609,0.3500309542417389,0.4373885219440706,0.03758652035027669,0.09268665951521012,0.2154198116305099
curvature/eta_star_rho,0.159127,5,0.3732945559182107,0.3087026955962554,0.4188870098343761,0.04376661642053925,0.11724418619737002,0.2951672144456942
curvature/eta_star_rho,0.200397,5,0.4627716800022819,0.3646405501163762,0.5022406150750307,0.05094734340812668,0.11009174850084918,0.29733899221744947
curvature/eta_star_rho,0.250397,5,0.4484375115433447,0.2601382415891369,0.4780496161749063,0.09072534352794726,0.2023143496977014,0.4859347600868727
curvature/eta_star_rho,0.300397,5,0.4924048523583695,0.4605752597361507,0.5315171557564863,0.02560926359376528,0.052008552456601305,0.14407229270905814
curvature/eta_star_rho,0.350397,5,0.5380042001140053,0.4811277588795561,0.5785008551033215,0.03711488810658767,0.06898624229833683,0.1809894722069672
curvature/eta_star_rho,0.400397,5,0.5010652006433345,0.4630285461325488,0.5992127948480611,0.058436201302564265,0.11662394679881193,0.2717894767799895
curvature/eta_star_rho,0.450397,5,0.5362285119748684,0.4998988437046752,0.5786741358704174,0.03124788901678853,0.058273456780032304,0.14690619839594463
