run,step,p,curvature/arith_eps,curvature/eta_star,curvature/eta_star_rho,curvature/eta_star_rho_threshold,curvature/gHg,curvature/gg,curvature/verdict_code_gradient,eta_reason,certified,eta_defined,rho_over_tau
d12-s10,2,0.006138,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.006746,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.007626,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.008779,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.010907,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.012091,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.013095,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.01627,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.017292,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.023996,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.025794,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.034318,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.047805,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.050223,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.050279,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.050397,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.074591,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.10026,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.100293,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.100397,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.106677,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.150112,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.150306,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.150397,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.159127,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.200149,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.200319,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.200397,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.250186,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.250333,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.250397,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.30008,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.300223,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.300397,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.350074,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.350093,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.35026,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.350359,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.350397,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.400106,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.400112,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.400397,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.45012,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.450149,,,,,,,,gHg_not_positive,False,False,
