metric,mclass,n_pairs,n_rel,frac_exact_equal,median_rel,q25_rel,q75_rel,iqr_rel,median_abs_rel,ci_lo,ci_hi,p90_abs_rel,max_abs_rel,median_abs_diff,iqr_abs_diff,median_shadow,median_native,sign_disagree_frac,sign_disagree_frac_nonzero,n_nonzero,frac_either_zero,rho_progress,p_progress,n_progress
curvature/e_curv_random,error,0,0,,,,,,,,,,,,,,,,,,,,,
curvature/e_curv_update,error,0,0,,,,,,,,,,,,,,,,,,,,,
curvature/e_fd_gradient,error,0,0,,,,,,,,,,,,,,,,,,,,,
curvature/e_fd_random,error,0,0,,,,,,,,,,,,,,,,,,,,,
curvature/e_fd_update,error,0,0,,,,,,,,,,,,,,,,,,,,,
curvature/fd_cos_gradient,error,0,0,,,,,,,,,,,,,,,,,,,,,
curvature/fd_cos_random,error,0,0,,,,,,,,,,,,,,,,,,,,,
curvature/fd_cos_update,error,0,0,,,,,,,,,,,,,,,,,,,,,
curvature/fd_conclusive_gradient,flag,215,215,0.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,1.0,0.0,1.0,,0.0,1.0,,,215.0
curvature/fd_conclusive_random,flag,215,40,0.813953488372093,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.18604651162790697,,0.0,1.0,,,40.0
curvature/fd_conclusive_update,flag,215,2,0.9906976744186047,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.009302325581395349,,0.0,1.0,,,2.0
curvature/verdict_code_gradient,flag,215,29,0.009302325581395349,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.8651162790697674,0.0,29.0,0.8651162790697674,0.2792701396611958,0.151,29.0
curvature/verdict_code_random,flag,215,215,0.018604651162790697,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,215.0,0.0,-0.10733762188985689,0.1161,215.0
curvature/verdict_code_update,flag,215,215,0.004651162790697674,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,215.0,0.0,0.0022032578798345795,0.9959,215.0
curvature/fd_floor_random,floor,215,215,0.0,195918.14958932585,65530.82130321814,655885.1627312554,590354.3414280373,195918.14958932585,65668.56999127133,196325.03463784745,6552414.856139881,19696962.200849853,1.4921273986747394,8.327934603680792,9.33031449795377e-06,1.4921350035026864,0.0,0.0,215.0,0.0,0.47906370025795814,0.0,215.0
curvature/fd_floor_update,floor,215,215,0.0,66144.367491414,65529.92167773962,196903.93653143122,131374.0148536916,66144.367491414,65607.8395710553,196478.75395711375,655514.2041300533,6552447.450850856,1.2938411593122794,2.1453469902655833,9.330314446819005e-06,1.2938477432351982,0.0,0.0,215.0,0.0,0.37317037292242444,0.0,215.0
curvature/curv_floor_update,floor,215,215,0.0,65535.188134152864,5892.886037802012,728188.7077856859,722295.8217478839,65535.188134152864,65505.11175025086,65547.4073366089,6554342.087884903,72932961.7392479,73.79757082639395,683.181544880713,0.0015992354620822072,73.80770726336374,0.0,0.0,215.0,0.0,0.2220660300879614,0.0007,215.0
curvature/arith_eps,floor,215,215,0.0,65535.0,65535.0,65535.0,0.0,65535.0,65535.0,65535.0,65535.0,65535.0,0.007812380790710449,0.0,1.1920928955078125e-07,0.0078125,0.0,0.0,215.0,0.0,,,215.0
curvature/eta_star_rho_threshold,floor,215,215,0.0,65535.0,65535.0,65535.0,0.0,65535.0,65535.0,65535.0,65535.0,65535.0,0.062499046325683594,0.0,9.5367431640625e-07,0.0625,0.0,0.0,215.0,0.0,,,215.0
curvature/curv_floor_random,floor,215,215,0.0,65520.174481836235,654.764852815752,589859.2904150796,589204.5255622638,65520.174481836235,36392.24112673361,65532.700550817215,6554015.306092277,72902740.69966598,168.26707422044115,2724.887155972341,0.008137524787343864,168.52419409486984,0.0,0.0,215.0,0.0,0.07419108863571948,0.2765,215.0
curvature/fd_floor_gradient,floor,215,215,0.0,2203.209721740786,2185.2477362288228,6557.369941278092,4372.122205049269,2203.209721740786,2191.5084272111467,2214.692400294612,21862.94684512816,65559.29427378638,0.6091249041857506,0.3548836887968956,0.0002869226421999513,0.6091528948959105,0.0,0.0,215.0,0.0,-0.5695183392727652,0.0,215.0
curvature/curv_floor_gradient,floor,215,215,0.0,486.6264435496506,127.75756300330065,1966.9283725762525,1839.1708095729518,486.6264435496506,486.1417310469378,656.643237896606,65535.375863206835,6554026.237575365,5.976296735678942,9.484362097605489,0.011539418387776935,5.9853934682905665,0.0,0.0,215.0,0.0,-0.9007197789739612,0.0,215.0
curvature/fd_eps_gradient,floor,215,215,0.09767441860465116,28.999999999999996,9.0,28.999999999999996,19.999999999999996,28.999999999999996,28.999999999999996,28.999999999999996,99.0,99.0,0.028999999999999998,0.0019999999999999983,0.001,0.03,0.0,0.0,215.0,0.0,0.7707811225213855,0.0,215.0
curvature/curv_eps_gradient,floor,215,215,0.11162790697674418,10.624113535263817,4.773502691896258,21.946028731979947,17.17252604008369,10.624113535263817,9.0,10.624113535263817,27.67602181638259,32.333333333333336,0.09139719345508523,0.012937732242226774,0.008602806544914778,0.1,0.0,0.0,215.0,0.0,0.9085598725727232,0.0,215.0
curvature/curv_eps_random,floor,215,215,0.26976744186046514,0.0,-0.6666666666666666,9.0,9.666666666666666,0.97,0.9,1.4849999999999999,9.0,32.333333333333336,0.0,0.034,0.01,0.03,0.0,0.0,215.0,0.0,-0.019578095717755553,0.7751,215.0
curvature/curv_eps_update,floor,215,215,0.23255813953488372,0.0,-0.7000000000000001,2.3333333333333335,3.0333333333333337,0.9,0.9,0.97,9.0,32.333333333333336,0.0,0.054,0.03,0.03,0.0,0.0,215.0,0.0,-0.15024712743187812,0.0301,215.0
curvature/fd_eps_random,floor,215,215,0.4930232558139535,-0.6666666666666666,-0.9,0.0,0.9,0.6666666666666666,0.0,0.6666666666666666,0.99,0.9966666666666667,-0.019999999999999997,0.027,0.03,0.01,0.0,0.0,215.0,0.0,0.4764111393255516,0.0,215.0
curvature/fd_eps_update,floor,215,215,0.5023255813953489,0.0,-0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.9,0.99,0.0,0.019999999999999997,0.03,0.03,0.0,0.0,215.0,0.0,0.38724305529344627,0.0,215.0
curvature/gHg,quadratic,215,215,0.0,0.001122706515043547,-0.006503468731761643,0.014293681122434006,0.02079714985419565,0.009351000122887034,0.007994494511400422,0.009705319807725606,0.04618651284852739,0.7101553982160347,8.637125625955873e-05,0.42420319788082894,15.932543650558188,15.964553773454806,0.0,0.0,215.0,0.0,-0.12728297874933975,0.0616,215.0
curvature/vhv_gradient,quadratic,215,215,0.0,0.0005143194889255882,-0.005681921232210816,0.011360726437866689,0.017042647670077505,0.006731882812207576,0.006254273225170086,0.007527410632094116,0.03870851737395258,0.7721492733113606,1.6898201940878136e-05,0.05477639722819172,3.3957895201714727,3.447005442523241,0.0,0.0,215.0,0.0,-0.1977253531403269,0.0036,215.0
curvature/eta_star,quadratic,186,186,0.0,0.00018794933395904613,-0.006604636514566265,0.0058683170420893785,0.012472953556655644,0.006051968957648588,0.005805076017998486,0.006691906271104183,0.02302528258653449,0.10812066378731851,3.784769801060128e-05,0.0016159327354271953,0.17576374368645836,0.17342476833375015,0.0,0.0,186.0,0.0,-0.02565091545298296,0.7267,186.0
curvature/Hg_norm,quadratic,215,215,0.0,-0.00034475671165119055,-0.006087193514387374,0.004421595117557277,0.010508788631944651,0.00524338310545384,0.00431021967689697,0.00627995721596254,0.023098645843355362,0.06423865724174653,-0.00044872738487100605,0.2449822817351346,15.62346437494211,15.77872204862884,0.0,0.0,215.0,0.0,0.1145706829567971,0.095,215.0
curvature/vhv_random,quadratic,215,215,0.0,-0.0010376148134174923,-0.004981181912770508,0.003285185603173022,0.00826636751594353,0.004347395051060961,0.0034375180767734644,0.005071055645080479,0.016413387872091508,0.32343274167794334,-3.5695808398395563e-09,3.580995968555158e-08,5.031379972830068e-06,5.067965817948094e-06,0.0,0.0,215.0,0.0,-0.15638321846710634,0.0226,215.0
curvature/dhd,quadratic,215,215,0.0,-6.133068763877987e-05,-0.001957268833481597,0.002556272711178499,0.004513541544660096,0.0021877620769877822,0.0019013245842753209,0.002345595811552229,0.013871872410374625,0.055193945278283876,-1.6589787622990496e-07,0.00020006787332471632,0.06713580845764475,0.06694242915866062,0.0,0.0,215.0,0.0,-0.2568503302415633,0.0001,215.0
curvature/eta_star_rho,quadratic,215,215,0.0,0.0003344863795924729,-0.0012176356300513636,0.003090486095015095,0.004308121725066459,0.0021056618433432338,0.0018264134940129662,0.0026100745210047953,0.015945577200228114,0.7191631156600027,3.6191673359058704e-05,0.0016687435592509792,0.5210562271557676,0.520463649187849,0.0,0.0,215.0,0.0,-0.25983094453151157,0.0003,215.0
curvature/vhv_update,quadratic,215,215,0.0,-0.00015492786137887466,-0.0019130754177696966,0.0025264315173296158,0.004439506935099312,0.0020841206510159517,0.0018767565203378757,0.0022894328416980816,0.013625528667777671,0.05602311854938747,-2.7899801291999677e-11,7.417294470277696e-10,1.7306973479911215e-07,1.7322002915430376e-07,0.0,0.0,215.0,0.0,-0.16899165168714675,0.0129,215.0
curvature/gg,quadratic,215,215,0.0,-9.271255819267274e-05,-0.0020179892821079832,0.0015663539647327038,0.003584343246840687,0.0018115228239091962,0.0015276771202519526,0.002420557224901024,0.006454390373821016,0.018679115706640242,-0.00039170087616913207,0.024427811192564652,5.513341243742212,5.474401476576748,0.0,0.0,215.0,0.0,0.2922028552830989,0.0,215.0
curvature/fd_snr_gradient,snr,215,215,0.0,-0.9995455253414944,-0.9998471330512455,-0.9995284674234239,0.00031866562782156826,0.9995455253414944,0.9995425715684523,0.9995486238826661,0.9999557065656608,0.999984753639272,-37269.83253180837,36377.97385539382,37270.40092978737,12.239448639873947,0.0,0.0,215.0,0.0,-0.6210299482687204,0.0,215.0
curvature/fd_snr_random,snr,215,215,0.0,-0.9988208971341704,-0.99916523841441,-0.9986109663557194,0.0005542720586905192,0.9988208971341704,0.9987617095774394,0.998879963210316,0.9998975872335089,0.9999810664929186,-605.7818333235911,311.9758114742889,606.5484025213252,0.8281143546430432,0.0,0.0,215.0,0.0,-0.5473285837393923,0.0,215.0
curvature/curv_snr_gradient,snr,215,215,0.0,-0.9983636847940468,-0.9994319675449478,-0.9931205446976061,0.006311422847341652,0.9983636847940468,0.9979222631977291,0.9985649089253698,0.999886303332789,0.9999896458062746,-279.34225207829286,43.457384716875936,281.0423613251698,0.49231561370503163,0.0,0.0,215.0,0.0,-0.9144507733700579,0.0,215.0
curvature/fd_snr_update,snr,215,215,0.0,-0.993893855844772,-0.9978930652235798,-0.9921504923519111,0.005742572871668683,0.993893855844772,0.993508080371207,0.9943412616865929,0.9997918255057723,0.9999759099093647,-123.00945807649022,48.96341223433363,123.63973219675984,0.7958798169033662,0.0,0.0,215.0,0.0,-0.8831138652304986,0.0,215.0
curvature/curv_snr_random,snr,215,209,0.0,-0.9450387545599677,-0.9783428790582291,-0.9114671762008242,0.06687570285740496,0.9450387545599677,0.9417658726242275,0.9498983652540113,0.9995605505607408,0.9999694824169755,-0.4152687762634988,0.3079941315167982,0.44242008891675777,0.026851876473951028,0.027906976744186046,0.0,209.0,0.027906976744186046,-0.6685776532562907,0.0,209.0
curvature/curv_snr_update,snr,215,210,0.0,-0.9447458646489493,-0.9803834104297381,-0.8948194435464748,0.08556396688326329,0.9447458646489493,0.937722175587178,0.9533021140536054,0.9989976407529687,0.9999389647388096,-0.36938835018994515,0.32303417113711264,0.38473385093744566,0.025988365025423267,0.023255813953488372,0.0,210.0,0.023255813953488372,-0.6656637595364094,0.0,210.0
update/residual_p2,update,215,215,0.0,0.029414682417687507,-0.5242370951365205,1.8277306225779677,2.351967717714488,0.8370690055597124,0.5601162291921501,0.9294896074027225,80.24990524245932,27627.52548703374,8.824916035484603e-05,0.0017618053140491922,-0.0004946385475991452,-0.0009283781133564775,0.20465116279069767,0.20465116279069767,215.0,0.0,0.41832160705694843,0.0,215.0
update/normalized_residual,update,215,215,0.0,0.021507249014278022,-0.522629921256064,1.7532678027160817,2.275897723972146,0.7790267301895977,0.5307947079588219,0.8768699609938343,57.28234810275693,27624.27306356798,0.0025209419645066677,0.042895620360812986,-0.015520377470768164,-0.03778577999146785,0.20465116279069767,0.20465116279069767,215.0,0.0,0.403882294070473,0.0,215.0
update/actual,update,215,215,0.0,0.002985381922997735,-0.02737584385368634,0.028620375092376246,0.05599621894606259,0.02803585091266805,0.023718425299653654,0.033584306816831305,0.4453361833699011,22.845070422535212,0.0001087188720703125,0.001858532428741455,-0.013015985488891602,-0.014137983322143555,0.03255813953488372,0.03255813953488372,215.0,0.0,0.6320526657016043,0.0,215.0
update/residual_p1,update,215,215,0.0,0.00395984998657296,-0.022240389686568975,0.03733897076968528,0.059579360456254254,0.027742072129124752,0.022894815795045806,0.03270131151257864,0.7478423955655611,40.83430479133291,0.00010587311721967085,0.0017359096637417117,0.03172672977156461,0.031375250732973335,0.027906976744186046,0.027906976744186046,215.0,0.0,0.3604526424603904,0.0,215.0
update/p2,update,215,215,0.0,-0.00015070906560315503,-0.004830235874502806,0.004444823464904887,0.009275059339407692,0.00460700435848319,0.004309204828623988,0.005752614902381069,0.03365572660587578,5.784066150824365,-3.123659130542522e-06,0.00023413813322272804,-0.010874121980637155,-0.011606208644313675,0.004651162790697674,0.004651162790697674,215.0,0.0,0.3416686131416262,0.0,215.0
update/p1,update,215,215,0.0,3.2957272814899946e-05,-0.0034746674620161153,0.0035181898425066032,0.0069928573045227186,0.0035142404663811694,0.0029354197725048386,0.004312750498569801,0.024586350655813494,68.8702652939858,5.392097177866779e-07,0.00022790490156427475,-0.051151151737175465,-0.05152602688580317,0.004651162790697674,0.004651162790697674,215.0,0.0,0.4580858760211668,0.0,215.0
update/loss_after,update,215,215,0.004651162790697674,5.678191419150474e-05,-0.0002029313249024039,0.0003166648606402725,0.0005195961855426764,0.0002807545706620669,0.0002511599414216008,0.00030219658265797717,0.001125737567921591,0.002221633228891842,0.0001773834228515625,0.0012627840042114258,1.8990328311920166,1.8996293544769287,0.0,0.0,215.0,0.0,0.3431275199739834,0.0,215.0
update/loss_before,update,215,215,0.0,1.1824721345582017e-05,-0.00019111317443403284,0.0002898163810855635,0.0004809295555195963,0.00024167768626085273,0.000203120254818456,0.0002994235575339626,0.0008295881330795837,0.002495498144778727,9.34600830078125e-05,0.0012505650520324707,1.907652497291565,1.9087998867034912,0.0,0.0,215.0,0.0,0.40234730186523626,0.0,215.0
update/direction_norm,update,215,215,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.5651593573068,557.5651593573068,0.0,0.0,215.0,0.0,,,215.0
