metric,mclass,n_runs,rho_pooled,p_pooled,rho_run_median,rho_run_min,rho_run_max,n_runs_positive,median_abs_rel_early,median_abs_rel_late,late_over_early
curvature/dhd,quadratic,7,-0.2568503302415633,0.0004,-0.27875417130144603,-0.3388209121245828,-0.14349276974416017,0,0.002287220983166011,0.0018918036300382712,0.8271188678146892
curvature/eta_star,quadratic,7,-0.02565091545298296,0.728,0.007179487179487179,-0.2075213675213675,0.07282051282051281,4,0.006868665277971713,0.005805076017998486,0.8451534298251173
curvature/eta_star_rho,quadratic,7,-0.25983094453151157,0.0,-0.25739710789766407,-0.4896551724137932,-0.020161290322580645,0,0.003370356511909949,0.0015845191369284408,0.4701339847369763
curvature/gHg,quadratic,7,-0.12728297874933975,0.0601,-0.1292547274749722,-0.35350389321468295,0.0439882697947214,2,0.010506015583872864,0.007493458578891023,0.7132540894374618
curvature/gg,quadratic,7,0.2922028552830989,0.0,0.3130144605116796,0.10656284760845385,0.4535427807486631,7,0.001358376193120154,0.0021416326936322754,1.5766123585492189
curvature/vhv_gradient,quadratic,7,-0.1977253531403269,0.0038,-0.1734625668449198,-0.4776418242491657,-0.005131964809384164,0,0.009381455080174182,0.006017582581176561,0.64143382127294
curvature/vhv_random,quadratic,7,-0.15638321846710634,0.0217,-0.13548387096774192,-0.2938820912124583,0.09766407119021134,1,0.005122032036920771,0.0034396007464719525,0.6715305022847434
curvature/vhv_update,quadratic,7,-0.16899165168714675,0.0125,-0.1203559510567297,-0.2596218020022247,-0.040711902113459396,0,0.0021388398591993723,0.0019747959273407824,0.9233023776169965
curvature/curv_snr_gradient,snr,7,-0.9144507733700579,0.0,-0.9443826473859845,-0.950166852057842,-0.9119021134593993,0,0.9992611494103052,0.9910786558438373,0.9918114563232078
curvature/curv_snr_random,snr,7,-0.6685776532562907,0.0,-0.6885604816639298,-0.8340378197997775,-0.49560117302052775,0,0.9646555735345703,0.9235861194023782,0.9574257846438283
curvature/curv_snr_update,snr,7,-0.6656637595364094,0.0,-0.6514037433155081,-0.7847290640394087,-0.5684093437152391,0,0.9688781676297724,0.9135630463806097,0.9429080733809044
curvature/fd_snr_gradient,snr,7,-0.6210299482687204,0.0,-0.6182424916573971,-0.800222469410456,-0.4010263929618768,0,0.999555305857184,0.9995430912127884,0.999987779921407
curvature/fd_snr_random,snr,7,-0.5473285837393923,0.0,-0.6155728587319244,-0.6622914349276974,-0.36296791443850274,0,0.9989792998440079,0.9987820828974463,0.9998025815483941
curvature/fd_snr_update,snr,7,-0.8831138652304986,0.0,-0.9123470522803115,-0.9457174638487208,-0.8563049853372433,0,0.9957524154142581,0.9918861014429998,0.9961171934796164
update/actual,update,7,0.6320526657016043,0.0,0.6587319243604004,0.503448275862069,0.7423804226918799,7,0.018150623466466183,0.13677583318893316,7.535599724253582
update/direction_norm,update,0,,,,,,0,0.0,0.0,
update/loss_after,update,7,0.3431275199739834,0.0,0.3543937708565072,0.1499266862170088,0.48075639599555064,7,0.00022832439914306129,0.0004574595798516025,2.0035510071132254
update/loss_before,update,7,0.40234730186523626,0.0,0.4420467185761958,0.2283724340175953,0.4852057842046719,7,0.00017849478867908728,0.00034729528752159894,1.9456886673929465
update/normalized_residual,update,7,0.403882294070473,0.0,0.3993325917686318,0.30189098998887653,0.5185761957730812,7,0.3392359853161969,10.933831245612375,32.230752982827305
update/p1,update,7,0.4580858760211668,0.0,0.4487208008898776,0.3931034482758621,0.5608288770053476,7,0.0021549750805010294,0.006493988992705081,3.0134868154462535
update/p2,update,7,0.3416686131416262,0.0,0.364182424916574,0.2413793103448276,0.41357063403781974,7,0.003918534091687627,0.007864001631753532,2.006873347978626
update/residual_p1,update,7,0.3604526424603904,0.0,0.34015572858731924,0.2649610678531702,0.45494994438264746,7,0.01792500135122469,0.1271102064175236,7.0912243701916955
update/residual_p2,update,7,0.41832160705694843,0.0,0.40600667408231367,0.29299221357063404,0.5216907675194661,7,0.37492546339201216,12.849693962961437,34.27266274930528
