run,depth,seed,segment,arm,metric,family,direction,step,progress,value,estimator_id,dtype
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_lin_gradient,e_lin,gradient,5,0.001984126984126984,0.007092109967082143,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/verdict_code_gradient,verdict_code,gradient,5,0.001984126984126984,2.0,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_sym_update,e_sym,update,5,0.001984126984126984,0.021238704499137746,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_lin_update,e_lin,update,5,0.001984126984126984,0.019982944587564964,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/verdict_code_update,verdict_code,update,5,0.001984126984126984,2.0,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_sym_random,e_sym,random,9,0.0035714285714285713,1.3218742752666307e-06,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_lin_random,e_lin,random,9,0.0035714285714285713,5.108793488556853e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/verdict_code_random,verdict_code,random,9,0.0035714285714285713,1.0,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_sym_gradient,e_sym,gradient,9,0.0035714285714285713,9.697076487861173e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_lin_gradient,e_lin,gradient,9,0.0035714285714285713,1.3176281586424588e-06,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/verdict_code_gradient,verdict_code,gradient,9,0.0035714285714285713,0.0,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_sym_update,e_sym,update,9,0.0035714285714285713,5.147144385547512e-09,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_lin_update,e_lin,update,9,0.0035714285714285713,4.342272433787305e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/verdict_code_update,verdict_code,update,9,0.0035714285714285713,1.0,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_sym_random,e_sym,random,9,0.0035714285714285713,0.004792962186731267,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_lin_random,e_lin,random,9,0.0035714285714285713,0.008427806224226342,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/verdict_code_random,verdict_code,random,9,0.0035714285714285713,2.0,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_sym_gradient,e_sym,gradient,9,0.0035714285714285713,0.003318189224703338,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_lin_gradient,e_lin,gradient,9,0.0035714285714285713,0.0032198121533603846,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/verdict_code_gradient,verdict_code,gradient,9,0.0035714285714285713,2.0,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_sym_update,e_sym,update,9,0.0035714285714285713,0.0028234196034043644,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_lin_update,e_lin,update,9,0.0035714285714285713,0.007916061257854167,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/verdict_code_update,verdict_code,update,9,0.0035714285714285713,2.0,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_sym_random,e_sym,random,17,0.006746031746031746,1.3003677013974852e-06,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_lin_random,e_lin,random,17,0.006746031746031746,6.226033771732429e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/verdict_code_random,verdict_code,random,17,0.006746031746031746,1.0,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_sym_gradient,e_sym,gradient,17,0.006746031746031746,3.521987454045871e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_lin_gradient,e_lin,gradient,17,0.006746031746031746,5.669503659328696e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/verdict_code_gradient,verdict_code,gradient,17,0.006746031746031746,0.0,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_sym_update,e_sym,update,17,0.006746031746031746,4.306112114834012e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_lin_update,e_lin,update,17,0.006746031746031746,6.210853288849775e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/verdict_code_update,verdict_code,update,17,0.006746031746031746,1.0,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_sym_random,e_sym,random,17,0.006746031746031746,0.008077388006226678,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_lin_random,e_lin,random,17,0.006746031746031746,0.011134500230324872,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/verdict_code_random,verdict_code,random,17,0.006746031746031746,2.0,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_sym_gradient,e_sym,gradient,17,0.006746031746031746,0.0025397310936893444,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_lin_gradient,e_lin,gradient,17,0.006746031746031746,0.0034625114071699025,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/verdict_code_gradient,verdict_code,gradient,17,0.006746031746031746,2.0,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_sym_update,e_sym,update,17,0.006746031746031746,0.31330416064645084,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_lin_update,e_lin,update,17,0.006746031746031746,0.014464866074202776,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/verdict_code_update,verdict_code,update,17,0.006746031746031746,2.0,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_sym_random,e_sym,random,33,0.013095238095238096,1.0572190860135439e-06,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_lin_random,e_lin,random,33,0.013095238095238096,6.266056509767695e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/verdict_code_random,verdict_code,random,33,0.013095238095238096,1.0,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_sym_gradient,e_sym,gradient,33,0.013095238095238096,1.1986727772879059e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_lin_gradient,e_lin,gradient,33,0.013095238095238096,4.435418031483877e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/verdict_code_gradient,verdict_code,gradient,33,0.013095238095238096,0.0,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_sym_update,e_sym,update,33,0.013095238095238096,1.8130059616457073e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_lin_update,e_lin,update,33,0.013095238095238096,4.864099120476454e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/verdict_code_update,verdict_code,update,33,0.013095238095238096,1.0,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_sym_random,e_sym,random,33,0.013095238095238096,0.019151257236290464,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_lin_random,e_lin,random,33,0.013095238095238096,0.01059088353079447,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/verdict_code_random,verdict_code,random,33,0.013095238095238096,2.0,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_sym_gradient,e_sym,gradient,33,0.013095238095238096,0.000362723146270612,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_lin_gradient,e_lin,gradient,33,0.013095238095238096,0.003624938415626472,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/verdict_code_gradient,verdict_code,gradient,33,0.013095238095238096,2.0,,torch.bfloat16
