segment,depth,seed,acceptance_arm,metric,n_checkpoints,median,minimum,maximum,q25,q75,n_above_threshold
d12-s8-s0-2b2e72e4395440029b92226213d137bb,12,8,shadow_fp32,curvature/e_lin_update,30,7.4465834416357363e-07,4.6273417617826795e-07,9.1996338511371717e-07,6.9613198729561819e-07,7.8078446026690502e-07,0
d12-s9-s0-b872e698e81b4a8fa0cd08512f43c2c2,12,9,shadow_fp32,curvature/e_lin_update,30,7.521432788808277e-07,3.7167413378359399e-07,8.545529970513122e-07,6.6737911050849229e-07,7.8455211236681821e-07,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,shadow_fp32,curvature/e_lin_update,30,7.2484338537365966e-07,4.342272433787305e-07,9.0069992841895866e-07,6.7004338217540069e-07,7.6732639158797169e-07,0
d12-s11-s0-5fd1bf807f764954b30658872fc3e2ad,12,11,shadow_fp32,curvature/e_lin_update,30,7.1478439402342338e-07,3.5957893762503371e-07,9.1517486321723094e-07,6.8000537115655144e-07,7.6948473988437833e-07,0
d14-s7-s0-b72acf7ac59942dab902e26fa0b2c80d,14,7,shadow_fp32,curvature/e_lin_update,32,8.0821017239941468e-07,5.0512661422240557e-07,1.0280888031820224e-06,7.5704876423965207e-07,8.5603285244578708e-07,0
d16-s7-s0-8e0a39fc8f164343bd01ef6b915e849f,16,7,shadow_fp32,curvature/e_lin_update,33,8.6282439356789133e-07,5.65042245432939e-07,1.0696347361357623e-06,7.9232766287153654e-07,9.3655694561018183e-07,0
d12-s7-s0-6c217854f4174ce884dfb2b2dcc13c45,12,7,shadow_fp32,curvature/e_sym_gradient,30,1.549372145467504e-06,1.7289003070358978e-07,2.4666148566189899e-05,8.4061875392784126e-07,4.8053157799132075e-06,0
d12-s8-s0-2b2e72e4395440029b92226213d137bb,12,8,shadow_fp32,curvature/e_sym_gradient,30,7.747444564455121e-07,3.8454132927898796e-08,1.4181818391923354e-05,4.3051853388574965e-07,1.5651861728214562e-06,0
d12-s9-s0-b872e698e81b4a8fa0cd08512f43c2c2,12,9,shadow_fp32,curvature/e_sym_gradient,30,8.130593136204709e-07,1.2916116631750423e-07,2.21892902664179e-05,3.6734298353881955e-07,1.2897780947657333e-06,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,shadow_fp32,curvature/e_sym_gradient,30,6.3756976738957339e-07,1.151853092511402e-09,2.8869188964533048e-05,3.4682717049734185e-07,3.4157788735638524e-06,0
d12-s11-s0-5fd1bf807f764954b30658872fc3e2ad,12,11,shadow_fp32,curvature/e_sym_gradient,30,3.6849273657761534e-07,9.0305736969793048e-09,2.8840952473391379e-05,1.9089594185606818e-07,3.7778819939955315e-06,0
d14-s7-s0-b72acf7ac59942dab902e26fa0b2c80d,14,7,shadow_fp32,curvature/e_sym_gradient,32,8.8136192675284849e-07,8.9107191976604646e-09,5.2557335378807549e-05,1.7957264583110796e-07,2.659034742142586e-06,0
d16-s7-s0-8e0a39fc8f164343bd01ef6b915e849f,16,7,shadow_fp32,curvature/e_sym_gradient,33,7.0380845694136352e-07,1.0997378343205634e-08,0.00013593036576601183,2.6265110945164849e-07,2.044853879901527e-06,2
d12-s7-s0-6c217854f4174ce884dfb2b2dcc13c45,12,7,shadow_fp32,curvature/e_sym_random,30,8.2741658486788068e-07,2.3665934689248835e-08,9.2783535534303914e-06,3.2268175293500143e-07,1.7272291438717867e-06,0
d12-s8-s0-2b2e72e4395440029b92226213d137bb,12,8,shadow_fp32,curvature/e_sym_random,30,4.4828674516029802e-07,2.3580151506352066e-08,1.1351839341690011e-05,3.0229518801396754e-07,9.6217388561740242e-07,0
d12-s9-s0-b872e698e81b4a8fa0cd08512f43c2c2,12,9,shadow_fp32,curvature/e_sym_random,30,3.8144801229993527e-07,3.7728544818529872e-08,4.990786668404469e-05,1.6245767907732411e-07,1.040464251487054e-06,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,shadow_fp32,curvature/e_sym_random,30,1.0524482759773962e-06,3.8570472067459509e-08,3.8697230044337555e-05,6.012152728011356e-07,2.1639474316028926e-06,0
d12-s11-s0-5fd1bf807f764954b30658872fc3e2ad,12,11,shadow_fp32,curvature/e_sym_random,30,1.1374385881681662e-06,1.6877627797274692e-08,0.0010843841164397898,6.5806238349420457e-07,2.1310722991541323e-06,2
d14-s7-s0-b72acf7ac59942dab902e26fa0b2c80d,14,7,shadow_fp32,curvature/e_sym_random,32,1.2737534793231089e-06,8.6058293626106154e-09,0.00046925829707888272,6.6902701327046738e-07,7.1906854147567937e-06,2
d16-s7-s0-8e0a39fc8f164343bd01ef6b915e849f,16,7,shadow_fp32,curvature/e_sym_random,33,1.8695553617346154e-06,1.10837060403648e-09,8.339295089022133e-05,4.3853805716584498e-07,6.8870788931719689e-06,0
d12-s7-s0-6c217854f4174ce884dfb2b2dcc13c45,12,7,shadow_fp32,curvature/e_sym_update,30,1.0727090304306276e-06,3.6068537695366753e-08,1.5151643337680969e-05,5.5716974148951672e-07,1.8099117480087008e-06,0
d12-s8-s0-2b2e72e4395440029b92226213d137bb,12,8,shadow_fp32,curvature/e_sym_update,30,8.321125934387314e-07,3.2593642667269268e-08,2.225980800633652e-05,3.5342733126007926e-07,2.0812409377982242e-06,0
d12-s9-s0-b872e698e81b4a8fa0cd08512f43c2c2,12,9,shadow_fp32,curvature/e_sym_update,30,6.1256105850296737e-07,5.5923458176971842e-08,2.0838045687196189e-05,2.9305374482921997e-07,1.5898302464795575e-06,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,shadow_fp32,curvature/e_sym_update,30,8.3051665467968294e-07,5.1471443855475122e-09,0.0001370425424801867,2.9317444248322255e-07,2.7472860062530009e-06,1
d12-s11-s0-5fd1bf807f764954b30658872fc3e2ad,12,11,shadow_fp32,curvature/e_sym_update,30,8.8769491769267165e-07,1.2765101255919315e-07,1.7015717508704563e-05,3.6080028970808433e-07,1.7262406266499575e-06,0
d14-s7-s0-b72acf7ac59942dab902e26fa0b2c80d,14,7,shadow_fp32,curvature/e_sym_update,32,1.0921962414816112e-06,1.9126830744449881e-08,4.2296007509741082e-05,2.2586621034582477e-07,5.2744047994135359e-06,0
d16-s7-s0-8e0a39fc8f164343bd01ef6b915e849f,16,7,shadow_fp32,curvature/e_sym_update,33,9.4544433551115937e-07,3.6113703302995494e-08,4.7252650237265637e-05,4.6564966147234208e-07,2.3871061259079067e-06,0
