run,kind,s0,s1,gap,progress,cos
d12-s10,batch_grad,707,1111,404,0.28055555555555556,-0.07230334427596342
d12-s10,batch_grad,707,1212,505,0.28055555555555556,0.3095278255565378
d12-s10,batch_grad,707,1313,606,0.28055555555555556,0.1574870830674248
d12-s10,batch_grad,707,1414,707,0.28055555555555556,-0.6007011717860579
d12-s10,batch_grad,707,1515,808,0.28055555555555556,0.44055858793574426
d12-s10,batch_grad,707,1616,909,0.28055555555555556,-0.34547690797048275
d12-s10,batch_grad,707,1717,1010,0.28055555555555556,-0.4230305921149948
d12-s10,batch_grad,707,1818,1111,0.28055555555555556,0.43173515324320355
d12-s10,batch_grad,707,1919,1212,0.28055555555555556,-0.015403445370359287
d12-s10,batch_grad,707,2020,1313,0.28055555555555556,-0.3510012285669612
d12-s10,batch_grad,707,2121,1414,0.28055555555555556,0.25879957559556027
d12-s10,batch_grad,707,2222,1515,0.28055555555555556,0.13666684363714038
d12-s10,batch_grad,707,2323,1616,0.28055555555555556,0.11936825329030532
d12-s10,batch_grad,707,2424,1717,0.28055555555555556,-0.017698432335257912
d12-s10,batch_grad,808,909,101,0.32063492063492066,-0.018286761284781676
d12-s10,batch_grad,808,1010,202,0.32063492063492066,0.4361937705649876
d12-s10,batch_grad,808,1111,303,0.32063492063492066,0.12438681931353024
d12-s10,batch_grad,808,1212,404,0.32063492063492066,0.483376089986353
d12-s10,batch_grad,808,1313,505,0.32063492063492066,-0.23669942256460805
d12-s10,batch_grad,808,1414,606,0.32063492063492066,-0.22111240192084664
d12-s10,batch_grad,808,1515,707,0.32063492063492066,0.2907863348206384
d12-s10,batch_grad,808,1616,808,0.32063492063492066,0.011104202160414672
d12-s10,batch_grad,808,1717,909,0.32063492063492066,-0.2530530214104843
d12-s10,batch_grad,808,1818,1010,0.32063492063492066,0.3363407715310079
d12-s10,batch_grad,808,1919,1111,0.32063492063492066,0.16590318864092518
d12-s10,batch_grad,808,2020,1212,0.32063492063492066,-0.25600826253413905
d12-s10,batch_grad,808,2121,1313,0.32063492063492066,0.35979356462775564
d12-s10,batch_grad,808,2222,1414,0.32063492063492066,-0.12066191212295638
d12-s10,batch_grad,808,2323,1515,0.32063492063492066,-0.022642643492203622
d12-s10,batch_grad,808,2424,1616,0.32063492063492066,-0.0382547673548083
d12-s10,batch_grad,909,1010,101,0.3607142857142857,0.24340199883855418
d12-s10,batch_grad,909,1111,202,0.3607142857142857,0.1804699835866809
d12-s10,batch_grad,909,1212,303,0.3607142857142857,-0.4705208702271961
d12-s10,batch_grad,909,1313,404,0.3607142857142857,-0.4515667372276722
d12-s10,batch_grad,909,1414,505,0.3607142857142857,0.2751065781164128
d12-s10,batch_grad,909,1515,606,0.3607142857142857,-0.15139060585506509
d12-s10,batch_grad,909,1616,707,0.3607142857142857,0.4122673634436538
d12-s10,batch_grad,909,1717,808,0.3607142857142857,0.1514129088757279
d12-s10,batch_grad,909,1818,909,0.3607142857142857,-0.025203244228234885
d12-s10,batch_grad,909,1919,1010,0.3607142857142857,0.36022089926432665
d12-s10,batch_grad,909,2020,1111,0.3607142857142857,0.030561548578535252
d12-s10,batch_grad,909,2121,1212,0.3607142857142857,0.023858095258351763
d12-s10,batch_grad,909,2222,1313,0.3607142857142857,-0.03225639958556734
d12-s10,batch_grad,909,2323,1414,0.3607142857142857,-0.017603608548084716
d12-s10,batch_grad,909,2424,1515,0.3607142857142857,-0.01571923852549802
d12-s10,batch_grad,1010,1111,101,0.4007936507936508,-0.13093685961095977
d12-s10,batch_grad,1010,1212,202,0.4007936507936508,0.16032898537567927
d12-s10,batch_grad,1010,1313,303,0.4007936507936508,-0.24390728696855413
d12-s10,batch_grad,1010,1414,404,0.4007936507936508,-0.3535125614682726
d12-s10,batch_grad,1010,1515,505,0.4007936507936508,0.28988774007761275
d12-s10,batch_grad,1010,1616,606,0.4007936507936508,0.15817899434186794
d12-s10,batch_grad,1010,1717,707,0.4007936507936508,-0.2708602194699406
d12-s10,batch_grad,1010,1818,808,0.4007936507936508,0.3224085397716787
d12-s10,batch_grad,1010,1919,909,0.4007936507936508,0.0495201530477784
d12-s10,batch_grad,1010,2020,1010,0.4007936507936508,-0.23356028112678126
d12-s10,batch_grad,1010,2121,1111,0.4007936507936508,0.3857986133706986
d12-s10,batch_grad,1010,2222,1212,0.4007936507936508,-0.10041753078672339
d12-s10,batch_grad,1010,2323,1313,0.4007936507936508,-0.01635567470012816
d12-s10,batch_grad,1010,2424,1414,0.4007936507936508,0.03779098649879007
d12-s10,batch_grad,1111,1212,101,0.44087301587301586,0.08938500257307117
d12-s10,batch_grad,1111,1313,202,0.44087301587301586,-0.3767753231283115
d12-s10,batch_grad,1111,1414,303,0.44087301587301586,0.1525798002946883
d12-s10,batch_grad,1111,1515,404,0.44087301587301586,0.022264247190421704
d12-s10,batch_grad,1111,1616,505,0.44087301587301586,0.029358584331242995
d12-s10,batch_grad,1111,1717,606,0.44087301587301586,-0.0050586123037172255
d12-s10,batch_grad,1111,1818,707,0.44087301587301586,0.2566990804102379
