run,step,probe_step,gap,side,progress,cos
d12-s11,202,252,50,above,0.08015873015873017,-0.07861934434319204
d12-s11,303,252,51,below,0.12023809523809524,-0.038024486132865284
d12-s11,303,378,75,above,0.12023809523809524,-0.08327184241030801
d12-s11,404,400,4,below,0.16031746031746033,0.08997908977251522
d12-s11,404,504,100,above,0.16031746031746033,0.0690455526664088
d12-s11,505,504,1,below,0.2003968253968254,-0.07338434922714146
d12-s11,505,630,125,above,0.2003968253968254,0.007307079938018329
d12-s11,606,504,102,below,0.24047619047619048,-0.07082333869429655
d12-s11,606,630,24,above,0.24047619047619048,-0.07079232421991082
d12-s11,707,630,77,below,0.28055555555555556,-0.19733948292647732
d12-s11,707,756,49,above,0.28055555555555556,-0.12029402608879904
d12-s11,808,756,52,below,0.32063492063492066,0.13433816007500876
d12-s11,808,882,74,above,0.32063492063492066,0.11852446951174274
d12-s11,909,882,27,below,0.3607142857142857,-0.07284639053961162
d12-s11,909,1008,99,above,0.3607142857142857,-0.051802940594972875
d12-s11,1010,1008,2,below,0.4007936507936508,0.08211591530740386
d12-s11,1010,1134,124,above,0.4007936507936508,-0.07800164938927157
d12-s11,1111,1008,103,below,0.44087301587301586,0.20902221872731586
d12-s11,1111,1134,23,above,0.44087301587301586,0.23928627161675575
d12-s11,1212,1134,78,below,0.48095238095238096,-0.01965147041003204
d12-s11,1212,1260,48,above,0.48095238095238096,-0.11261973008643633
d12-s11,1313,1260,53,below,0.5210317460317461,0.008337206580323633
d12-s11,1313,1385,72,above,0.5210317460317461,-0.10856262892899209
d12-s11,1414,1385,29,below,0.5611111111111111,0.054436760563503966
d12-s11,1414,1511,97,above,0.5611111111111111,0.021203116960808188
d12-s11,1515,1511,4,below,0.6011904761904762,0.0397813805889078
d12-s11,1515,1637,122,above,0.6011904761904762,-0.032518829270641855
d12-s11,1616,1511,105,below,0.6412698412698413,0.1986260174666736
d12-s11,1616,1637,21,above,0.6412698412698413,0.13017541347692155
d12-s11,1717,1637,80,below,0.6813492063492064,-0.09804089812328637
d12-s11,1717,1763,46,above,0.6813492063492064,-0.10953453591459801
d12-s11,1818,1763,55,below,0.7214285714285714,0.008272293970848187
d12-s11,1818,1889,71,above,0.7214285714285714,-0.008636337287968367
d12-s11,1919,1889,30,below,0.7615079365079365,0.06403332188444054
d12-s11,1919,2015,96,above,0.7615079365079365,0.05839844150854865
d12-s11,2020,2015,5,below,0.8015873015873016,-0.0889439538269726
d12-s11,2020,2141,121,above,0.8015873015873016,-0.08553062292258501
d12-s11,2121,2015,106,below,0.8416666666666667,0.07852134735005184
d12-s11,2121,2141,20,above,0.8416666666666667,0.08668329397869175
d12-s11,2222,2141,81,below,0.8817460317460317,0.0519157570559911
