seg,tier,metric,n,ndef,nsteps,veclen
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,optim/muon_second_momentum_rms,1950,1872,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,overhead/attention,25,25,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,overhead/attention/work,25,25,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,overhead/grads_ready/periodic_scan,25,25,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,overhead/grads_ready/periodic_scan/work,25,25,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,overhead/noise,25,25,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,overhead/noise/work,25,25,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,overhead/probes,25,25,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,overhead/probes/work,25,25,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,param/norm,2825,2825,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,param/rms,2825,2825,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/attn_out_norm,600,600,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/attn_out_stats_mean,600,600,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/attn_out_stats_quantiles,600,600,25,7
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/attn_out_stats_rms,600,600,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/attn_out_stats_std,600,600,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/attn_residual_ratio,600,600,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/backout_contribution_ratio,50,50,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/backout_term_norm,50,50,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/block_in_stats_mean,600,600,25,0
