region,n_pts,n_pts_both,step_lo,step_hi,n_abs,medabsz_abs,n_inf_abs,medrel_abs,medabsrel_abs,seedsdrel_abs,medgap_abs,n_prog,medabsz_prog,n_inf_prog,medrel_prog,medabsrel_prog,seedsdrel_prog,medgap_prog,align_dz,align_dz_max,align_drel,sign_flip_frac,metric,arm,tier
post,21,10,401,5376,10,0.0,0,0.0,0.0,0.0,126.0,21,0.0,0,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.0,0.0,curvature/arith_eps,shadow_fp32,sparse
warmup,12,10,1,270,12,1.4208167104919491,0,0.14865954234741793,0.4150902227956468,0.2637745634463041,8.0,10,1.3076284079747278,0,-0.04588234935402079,0.6749515924253399,0.62551694853547,0.004761904761904762,2.741388412816378,1163.1068634506605,0.655434099254804,0.7,curvature/c_fd_gradient,native,sparse
post,21,10,401,5376,10,1.2272913390684836,0,-0.27241507330264286,0.27241507330264286,0.21373561274681138,126.0,21,2.948059377248755,0,0.6857012582193899,0.6857012582193899,0.2371801464613228,0.04999999999999999,3.436740486299275,8.759172701270273,1.1530173451268615,0.8,curvature/c_fd_gradient,native,sparse
warmup,12,10,1,270,12,1.8554215610082607,0,0.32823505167906836,0.32823505167906836,0.22669016568592026,8.0,10,1.6948936720246415,0,-0.08917703635377544,0.6839124933983711,0.7651792538152508,0.004761904761904762,3.6001238539458003,573.4689721462822,0.5175047316263238,0.4,curvature/c_fd_gradient,shadow_fp32,sparse
post,21,10,401,5376,10,1.798202338823883,0,-0.2947699315137761,0.2947699315137761,0.2048154311073489,126.0,21,3.008991022926525,0,0.6608165216193943,0.6608165216193943,0.2315497663888535,0.04999999999999999,3.5812338625471156,8.767972776346657,1.136888524791727,0.8,curvature/c_fd_gradient,shadow_fp32,sparse
warmup,12,10,1,270,12,0.07890780674298895,0,0.88345068527102,1.2148154547810786,95.9168203957081,8.0,10,0.08822678608500492,0,0.949911265029379,3.18593666716005,32.749528893569,0.004761904761904762,0.15863886105636033,0.6503973163650733,2.2501509513820777,0.2,curvature/c_fd_random,native,sparse
post,21,10,401,5376,10,0.09991435103767735,0,-1.4663680118582758,7.273716655684382,127.61757389368032,126.0,21,0.2055744813834958,0,0.9728561732056608,5.053671939024693,41.11730099052645,0.04999999999999999,0.27746140719427137,8.169632762527055,23.306350095972675,0.1,curvature/c_fd_random,native,sparse
warmup,12,10,1,270,12,0.25375365885739304,0,0.25,1.306,59.63061570756503,8.0,10,0.7458612653169916,0,-1.2977928287812506,4.589363255855332,11.130064371787586,0.004761904761904762,0.7237911352498954,2.0995030449348198,7.299831623099372,0.5,curvature/c_fd_random,shadow_fp32,sparse
post,21,10,401,5376,10,0.09056769805809373,0,1.01736559599066,1.3331360306017945,19.401609970579536,126.0,21,0.1240524536207127,0,-0.775,6.880047469134429,59.499482415032226,0.04999999999999999,0.37712906713548067,2.492392884847608,1.6456254294647836,0.2,curvature/c_fd_random,shadow_fp32,sparse
warmup,12,10,1,270,12,0.2591655219658574,0,0.7102148661350061,5.895025884844383,9.697639505078824,8.0,10,0.6347988974832657,0,-1.1522274332507787,18.659307941807317,10.509405416202107,0.004761904761904762,0.8292871226070946,25.36800699502526,16.566600498669015,0.2,curvature/c_fd_update,native,sparse
post,21,10,401,5376,10,0.26181623918099456,0,0.522852461606476,5.2296592244125994,48.857879534471714,126.0,21,0.8769153549972062,0,0.24266078398099442,34.55146429540568,48.48879070098859,0.04999999999999999,0.33952573119724777,16.477237430095396,28.371522850365796,0.3,curvature/c_fd_update,native,sparse
warmup,12,10,1,270,12,0.9374039941023714,0,0.91,1.7777777777777777,35.46916588242613,8.0,10,0.399240184563828,0,0.6721389496724853,1.3937015683955933,7.356195632507322,0.004761904761904762,0.4199285731668,1.826397773681872,4.916155627811749,0.1,curvature/c_fd_update,shadow_fp32,sparse
