metric,arm,tier,group,w_n_abs,w_n_prog,w_n_pts_both,w_medabsz_abs,w_medabsz_prog,w_n_inf_abs,w_n_inf_prog,w_medabsrel_abs,w_medabsrel_prog,w_medrel_abs,w_medrel_prog,w_seedsdrel_abs,w_align_dz,w_align_dz_max,w_align_drel,w_sign_flip_frac,w_frac_zero_sd_abs,w_frac_exact_eq_abs,w_frac_exact_eq_prog,w_medgap_abs,w_medgap_prog,p_n_abs,p_n_prog,p_n_pts_both,p_medabsz_abs,p_medabsz_prog,p_n_inf_abs,p_n_inf_prog,p_medabsrel_abs,p_medabsrel_prog,p_medrel_abs,p_medrel_prog,p_seedsdrel_abs,p_align_dz,p_align_dz_max,p_align_drel,p_sign_flip_frac,p_frac_zero_sd_abs,p_frac_exact_eq_abs,p_frac_exact_eq_prog,p_medgap_abs,p_medgap_prog,deterministic,verdict,verdict_prog,verdict_flip,align_unstable_warmup,align_unstable_post,align_unstable,untestable_warmup,why_unsafe,unsafe
curvature/fd_eps_gradient,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.0,2.184084119452652,0.0,4.0,0.0,0.6666666666666666,0.0,-0.5191248868341967,0.0,3.177316347428741,57.82450578593603,1.3320963541666668,0.8,0.5833333333333334,0.6666666666666666,0.1,8.0,0.0047619047619047,10.0,21.0,10.0,1.8032262105591736,1.8257418583505536,0.0,1.0,1.2250316055625792,0.0054267390231869,1.2250316055625792,0.0029601253700161,0.2974276720756569,2.259011556428125,4.685837300336521,0.6965277777777781,0.8,0.1,0.3,0.238095238095238,126.0,0.0499999999999999,False,not different,not different,False,True,False,True,False,alignment-unstable in window,True
curvature/fd_eps_random,native,sparse,dynamics,12.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3921339187857391,0.0,0.1,0.5833333333333334,0.8333333333333334,0.9,8.0,0.0047619047619047,10.0,21.0,10.0,1.0668933851430478,0.1768983834187557,0.0,0.0,0.8821885971418681,0.7,-0.807156368221942,-0.6663356504468717,1.1320301081107245,1.3334790369814278,3.263183705192107,0.8311867363335099,0.3,0.0,0.0,0.0952380952380952,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/fd_eps_update,native,sparse,dynamics,12.0,10.0,10.0,0.0,0.2107173153624583,1.0,0.0,0.0,0.0713010488730193,0.0,0.0,0.2955698886796942,0.0251109853059866,2.108672921518682,0.0053475935828876,0.4,0.4166666666666667,0.75,0.5,8.0,0.0047619047619047,10.0,21.0,10.0,1.2565889880339007,0.6339860369971045,0.0,0.0,0.6933114035087719,0.6993961082531877,-0.3232323232323231,-0.0118764845605702,0.5353073725986578,0.4924649606849949,1.2810805973740376,0.389394915651359,0.4,0.0,0.2,0.0952380952380952,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/fd_floor_update,native,sparse,dynamics,12.0,10.0,10.0,1.215435539355207,2.1360745580478384,0.0,0.0,0.1558191038656354,0.7002389200173904,0.1558191038656354,0.5325593672639916,0.3858929342341902,0.6401609815865696,6.511151293499484,0.4538029565840986,0.3,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.7162270945242976,0.4777107397696098,0.0,0.0,0.7213618235764288,0.5705021248137512,0.2950010031234664,0.4425128359333605,1.9007103338365847,0.1301660358399106,0.745813287264901,0.326848983579584,0.3,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/fd_snr_gradient,native,sparse,dynamics,12.0,10.0,10.0,0.640411500927645,2.971088280742922,0.0,0.0,0.0661498209321252,0.4277360928450545,-0.007391484689531,0.1560487261196224,0.0696022415505226,2.512912291669255,8.046637720697232,0.3446428617214275,0.6,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,1.3967439290176216,2.495503434794343,0.0,0.0,0.1504027358039653,0.3541518509552374,-0.1335239452389566,0.3541518509552374,0.1253235485458372,3.6639201161475015,5.1093937467109765,0.4432285945677214,0.7,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,True,True,False,alignment-unstable after window,True
curvature/fd_snr_gradient,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.5775234237782304,5.330771704695113,0.0,0.0,0.0576209282723172,0.4414181917871994,-0.0324418948595138,-0.1286522163545191,0.0691966115935941,1.2859357976176535,10.686073471416195,0.4888438026988372,0.4,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,1.239080053689063,1.881690872821855,0.0,0.0,0.628862119273851,0.7169689799110057,0.5316368110114399,0.7169689799110057,0.3427787478945822,1.1218381727103228,4.110681755042035,0.4394714262738176,0.5,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,uniformly different,True,False,False,False,False,verdict flips with alignment,True
curvature/fd_snr_random,native,sparse,dynamics,12.0,10.0,10.0,1.1525540209845226,5.118584744922222,0.0,0.0,0.0953617545309656,0.8301479855167836,0.0533973727236923,0.8301479855167836,0.0700633859437313,3.899603707197642,10.670790134814364,0.3709990541229764,0.4,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,1.789848878017673,0.8108834526661113,0.0,0.0,0.0632318912146278,0.0385371983646007,-0.0180844694842498,0.0045326581354392,0.0377419361815037,1.748275900227075,3.594086565442498,0.0703220262368761,0.1,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,warmup-dominated,True,True,False,True,False,alignment-unstable in window; verdict flips with alignment,True
curvature/fd_snr_update,native,sparse,dynamics,12.0,10.0,10.0,0.5253171663190412,2.974855418092195,0.0,0.0,0.1129645842929449,0.4031512665237308,0.0351930855602124,0.4031512665237308,0.1004823823926839,3.1503159299760024,9.46677458386758,0.295673835522011,0.3,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,1.91215840636422,0.9098923882247724,0.0,0.0,0.0625358508095125,0.044178120284179,0.0414332333616005,-0.008527362407094,0.0351881700457736,3.1160621457434248,4.641121598301807,0.1060921570327604,0.3,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,True,True,True,False,alignment-unstable in window; alignment-unstable after window,True
curvature/fd_snr_update,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,1.3537633117010233,2.442771670799317,0.0,0.0,0.1121658570161847,0.2941660930097504,-0.0796031485431854,0.1240059116913179,0.1095076292583102,1.8735567556725348,14.183239806514251,0.2664101722259457,0.7,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,2.01556297744093,3.141313491367698,0.0,0.0,0.1688481555327146,0.3261379706267122,-0.1483819390234787,-0.3261379706267122,0.0923872997418221,1.3412658245132756,4.418020663350556,0.1455058416877742,0.2,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,uniformly different,True,False,False,False,False,verdict flips with alignment,True
curvature/gHg,native,sparse,dynamics,12.0,10.0,10.0,2.700175135218444,2.206784864877376,0.0,0.0,0.6290390761159177,0.8494154633923592,0.6290390761159177,-0.0198435040896102,0.2636681519582409,1.1295795345168698,6.714421378448379,0.9661977993963669,0.4,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,1.891701330611398,4.433648211960167,0.0,0.0,0.5076636052986908,1.3834944904391386,-0.5076636052986908,1.3834944904391386,0.3142682978604805,3.407027272026917,6.272013926653517,0.795046696078641,0.8,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,uniformly different,True,False,True,True,False,alignment-unstable after window; verdict flips with alignment,True
curvature/gHg,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,2.496724765281443,2.2219737249105203,0.0,0.0,0.6117572620446938,0.8559703363905119,0.6117572620446938,0.0136260893790808,0.2603853943842736,1.2767970988508253,6.727873666940978,0.9656201515094016,0.4,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,1.858661206235419,4.865076320389879,0.0,0.0,0.5052134585130681,1.3566164012485376,-0.5052134585130681,1.3566164012485376,0.325406818527566,3.3309008899941155,6.157503120557307,0.7956839767770124,0.7,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,uniformly different,True,False,True,True,False,alignment-unstable after window; verdict flips with alignment,True
curvature/shadow_verdict_code,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.9,8.0,0.0047619047619047,10.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/verdict_code_gradient,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.0,0.0,2.0,2.0,0.5,1.0,0.5,-0.5,0.0,0.0,3.162277660168379,0.0,0.0,0.9166666666666666,0.8333333333333334,0.7,8.0,0.0047619047619047,10.0,21.0,10.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,1.0,1.0,1.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/verdict_code_random,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/verdict_code_update,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,1.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/vhv_gradient,native,sparse,dynamics,12.0,10.0,10.0,1.8668909201846595,2.289725570297336,0.0,0.0,0.3266516408582309,0.6777845046243112,0.3266516408582309,-0.1222379941805495,0.2275356014829199,1.3618462563412073,6.576093346800508,0.690551716992944,0.4,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,1.9173214616488896,3.003688023781782,0.0,0.0,0.3183999829319014,0.6601725296009435,-0.3183999829319014,0.6601725296009435,0.2092808811267306,3.5856614151331403,6.258552140414032,0.6200071743533775,0.8,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,uniformly different,True,False,True,True,False,alignment-unstable after window; verdict flips with alignment,True
curvature/vhv_gradient,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,1.844427215884915,2.2536956104726675,0.0,0.0,0.3294513931418729,0.6833437756283827,0.3294513931418729,-0.0888567373912258,0.2274207614311686,1.416844135620705,6.589315425184101,0.6995110857563623,0.4,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,1.8123156793453865,2.9631870513713814,0.0,0.0,0.2975969363808755,0.6651149874348223,-0.2975969363808755,0.6651149874348223,0.2047476539357829,3.5984081918741886,6.2685676167984665,0.6206947084526161,0.8,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,True,True,False,alignment-unstable after window,True
curvature/vhv_update,native,sparse,dynamics,12.0,10.0,10.0,0.7912704762838005,5.420268440495834,0.0,0.0,0.0979130409718681,0.7561130311887354,-0.0009045912346763,-0.3539639187798941,0.1349695313781642,3.614578849121016,48.20099813679933,0.7971756532628056,0.7,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,2.779256817060332,3.990532552033649,0.0,0.0,0.3143101546811028,0.5401686136581153,-0.3143101546811028,-0.5401686136581153,0.1017519511105358,2.238824058766105,4.122697140338081,0.363564863244651,0.0,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,uniformly different,True,True,False,True,False,alignment-unstable in window; verdict flips with alignment,True
curvature/vhv_update,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.6814351700428374,5.468097421147825,0.0,0.0,0.0994199385760014,0.7554123040696405,-0.0010165493634922,-0.3539641331306523,0.1345731940375317,3.673354664153123,43.39809019060521,0.7978885966142585,0.6,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,2.7351100271780227,4.066558209637717,0.0,0.0,0.3136249030584345,0.5418073556570688,-0.3136249030584345,-0.5418073556570688,0.1044369306594908,2.2432183432769923,4.067036741910084,0.3677167179336819,0.0,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,uniformly different,True,True,False,True,False,alignment-unstable in window; verdict flips with alignment,True
scalars/smear_lambda,none,continuous,dynamics,400.0,398.0,398.0,1.6647474547246244,5.318873006188455,0.0,0.0,0.058089125377236,0.1998136075160406,0.0557295558064248,-0.1534129958187065,0.0335245178336293,7.169595420757474,32.21772454122635,0.3118714440273318,0.6834170854271356,0.0,0.0,0.0,1.0,0.0003968253968253,2120.0,4976.0,2120.0,1.0260957618545687,1.3378060624484616,0.0,0.0,0.0597581767325463,0.0806672808284273,0.0558513734123887,-0.0802124256861982,0.0623273630769533,3.5630057158689343,14.618683980709166,0.2174550710179937,0.7867924528301887,0.0,0.0,0.0,1.0,0.0003968253968253,False,not different,warmup-dominated,True,True,True,True,False,alignment-unstable in window; alignment-unstable after window; verdict flips with alignment,True
update/loss_after,native,sparse,dynamics,12.0,10.0,10.0,2.1567915370776944,23.34631356717714,0.0,0.0,0.0206578369436185,0.2203851052397154,-0.0206578369436185,-0.2203851052397154,0.0098089776452572,18.84757379585123,50.33716569615248,0.256190187010357,0.0,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,2.413072023549277,10.794128609909308,0.0,0.0,0.0354617111772417,0.1738248259937088,-0.007750436331441,-0.1738248259937088,0.0138174808918588,7.625615021409482,18.384983123412105,0.2072117232833926,0.5,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,uniformly different,True,True,True,True,False,alignment-unstable in window; alignment-unstable after window; verdict flips with alignment,True
update/loss_after,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,2.186122314611688,23.73146349453528,0.0,0.0,0.0210731562243794,0.2205718515799373,-0.0210731562243794,-0.2205718515799373,0.0097622359803418,19.162455538861398,50.8668174923222,0.2558548292623396,0.0,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,2.441344403733707,10.84971856858671,0.0,0.0,0.0357009441831336,0.1742559661834419,-0.0084386914435139,-0.1742559661834419,0.0136384863637747,7.688088317524034,18.584659133138025,0.2065787969767094,0.5,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,uniformly different,True,True,True,True,False,alignment-unstable in window; alignment-unstable after window; verdict flips with alignment,True
update/loss_before,native,sparse,dynamics,12.0,10.0,10.0,2.912613269556271,53.54535932182032,0.0,0.0,0.0155666548176846,0.2078312417286492,-0.0155666548176846,-0.2078312417286492,0.0028915744533859,35.97004651141365,258.69380229303897,0.2180835842668477,0.0,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,2.512947882861324,12.57473557580195,0.0,0.0,0.0320089724496225,0.1763717507102692,-0.0252268365611228,-0.1763717507102692,0.0124815833042916,11.17686682377904,21.70886282614129,0.2308029369581969,0.4,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,warmup-dominated,True,True,True,True,False,alignment-unstable in window; alignment-unstable after window; verdict flips with alignment,True
update/loss_before,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,2.889907462434585,53.94809009331891,0.0,0.0,0.0153596679203427,0.2075584334558622,-0.0153596679203427,-0.2075584334558622,0.0029618042005095,36.03373060893372,260.1372223694433,0.2175837973669837,0.0,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,2.514442883440461,13.12078177502384,0.0,0.0,0.0318901676348665,0.1762249998437009,-0.0257883269412242,-0.1762249998437009,0.0123500003994629,11.28405182570994,22.0762349766766,0.2317893356776891,0.4,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,warmup-dominated,True,True,True,True,False,alignment-unstable in window; alignment-unstable after window; verdict flips with alignment,True
update/normalized_residual,native,sparse,dynamics,12.0,10.0,10.0,0.6888650788867421,1.6298545345471358,0.0,0.0,0.5855121241271127,1.2464905184074284,-0.010244669866827,-0.0581054551673569,0.6029965795095312,1.2607310388050634,11.55006328244841,0.8459500865407072,0.5,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.8164621259866769,0.2979751536861018,0.0,0.0,1.3642253052763502,1.2794987548023975,-1.1818499068800352,-0.0846397258407433,1.9061083940507288,0.2160555756071854,1.474338462115128,0.6553996593462968,0.1,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
update/normalized_residual,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.5776466841441482,1.459044371903262,0.0,0.0,0.4367144563443207,1.981243810498516,-0.2075476793631993,-0.7274627837960269,0.6979963934422431,1.3152975698676843,10.104803208508915,1.0030406888332708,0.5,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,2.1633312629388928,0.6166453924476697,0.0,0.0,3.180660241988348,1.0967913680030053,-0.2294765733191264,0.5748809537200305,2.616206960470832,0.469428238991254,1.1798165275315282,3.87678920466999,0.1,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
update/p1,native,sparse,dynamics,12.0,10.0,10.0,1.991076671893102,10.206413330543551,0.0,0.0,0.1747325187824392,0.9668203914973268,-0.1350239714774262,-0.6767776175376886,0.1230080091058325,5.384157566842754,42.67042905690063,0.6130854194163503,0.3,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,2.7202743152351028,1.391848830669266,0.0,0.0,1.161634402554682,0.8397052702038869,-0.2490646442276241,0.8077189673565668,0.8623225254935106,1.515324500920057,3.296360014643185,3.708193823780989,0.3,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,warmup-dominated,True,True,False,True,False,alignment-unstable in window; verdict flips with alignment,True
update/p1,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,1.9738302815839808,10.191099729132253,0.0,0.0,0.175117293356798,0.9681350342025076,-0.1374241931084392,-0.6706022939799949,0.1239334311725119,5.382134111126304,41.82356587557828,0.6150368984786398,0.3,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,2.7187573481555933,1.3976008146621652,0.0,0.0,1.1480541096420904,0.8444053114206708,-0.2599195154967508,0.8126743548927968,0.8666668725769848,1.4996754280300038,3.3531845856207805,3.679619276838929,0.3,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,warmup-dominated,True,True,False,True,False,alignment-unstable in window; verdict flips with alignment,True
update/p2,native,sparse,dynamics,12.0,10.0,10.0,2.1338214067722783,8.698996313656957,0.0,0.0,0.3830958813072935,1.2799144176815538,-0.1408167687101096,-0.6786683609868243,0.2405216225722403,3.65789488132051,43.03052535692405,1.04705956240889,0.2,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,2.9205126581904213,0.9369707054436917,0.0,0.0,7.01267667731099,1.6364938760179135,-0.8475178085583961,0.3886906568452576,2.4722201185041777,0.7846960045488856,1.6110948426911258,3.101010869760932,0.1,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,warmup-dominated,True,True,False,True,False,alignment-unstable in window; verdict flips with alignment,True
update/p2,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,2.162048765158157,8.687077155401841,0.0,0.0,0.3899801673967709,1.286332714648617,-0.1447381527835611,-0.6797058747618976,0.2396364013016163,3.662930463643757,41.901056016753614,1.0515548649287676,0.2,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,2.9137889947282263,0.9440045129089284,0.0,0.0,6.916905054584507,1.566802558691882,-0.8496027872658871,0.3834511539780669,2.421577384907618,0.7860554744407956,1.605577234381342,3.0017999906839448,0.1,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,warmup-dominated,True,True,False,True,False,alignment-unstable in window; verdict flips with alignment,True
update/residual_p2,native,sparse,dynamics,12.0,10.0,10.0,1.0524696913375022,2.2854061587742,0.0,0.0,0.4736416792620421,1.703330247642214,0.1857173014816488,-0.5117433488593628,0.6770004975788024,1.982954349114831,11.598502402355331,0.9653819931605112,0.5,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,1.065219300114013,0.7718593143611224,0.0,0.0,1.6786832692263314,1.05761079694787,-0.1913011304617971,0.5366083983984623,1.4073559401170743,0.8169993481599738,3.1421417984163207,1.689692456708214,0.2,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
update/residual_p2,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,1.6428299157295272,2.908654807300074,0.0,0.0,0.4641012420357146,2.004953002172414,-0.0985783498958048,-1.3112918601734962,0.6851487711203066,1.969126649288496,9.168384780045042,1.002337783286726,0.5,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,2.147939647532289,0.9117539496366432,0.0,0.0,1.7045390698135865,0.8997123563099373,0.4935440371355754,0.623357561501555,0.8924960324258561,1.157886035415867,2.4704361649558173,3.259410221752644,0.2,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/dhd,native,sparse,dynamics,12.0,10.0,10.0,1.0179270148247297,5.375382439655556,0.0,0.0,0.1417922751704676,0.9032490868154052,0.0777100310081754,0.0765045428876028,0.1405938738803007,1.8074464990875927,57.50190017030323,0.3863787560071621,0.2,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,5.520656991832077,3.625698608200147,0.0,0.0,0.5749981799770382,0.4588273690038152,0.2794587467916315,-0.4588273690038152,0.1076736996308453,5.79248513913159,11.462161271909569,1.9043037839289123,0.5,0.0,0.0,0.0,126.0,0.0499999999999999,False,post-dominated,uniformly different,True,False,True,True,False,alignment-unstable after window; verdict flips with alignment,True
curvature/dhd,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.7934869208901596,5.397310784672795,0.0,0.0,0.1242888856352019,0.906584494049569,0.0679473360400605,0.071311548083617,0.1369949018500392,1.815020840022912,51.74921966081489,0.3872257904038875,0.2,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,5.512140172424399,3.647837909098386,0.0,0.0,0.5774441886268395,0.4591878400207584,0.2840181600427003,-0.4591878400207584,0.1093329486123415,5.868753370597547,11.52487064340912,1.9107746739095333,0.5,0.0,0.0,0.0,126.0,0.0499999999999999,False,post-dominated,uniformly different,True,False,True,True,False,alignment-unstable after window; verdict flips with alignment,True
loss/train_mean,none,continuous,dynamics,401.0,401.0,401.0,3.6393672941716417,16.52047699958361,0.0,0.0,0.0277235871590386,0.1837056749458969,-0.0277235871590386,-0.1837056749458969,0.0050617089304577,16.884594518921773,288.34318322429647,0.1915200095696018,0.0,0.0,0.0,0.0,1.0,0.0003968253968253,2119.0,4973.0,2119.0,28.589474219383398,133.50173248900506,0.0,0.0,0.0146446467487932,0.0796965648910609,-0.0107710081069521,-0.0796965648910609,0.0005622740273505,84.60854773492933,355.5883716756816,0.0857192570381375,0.3874469089193015,0.0,0.0,0.0,1.0,0.0003968253968253,False,post-dominated,post-dominated,False,True,True,True,False,alignment-unstable in window; alignment-unstable after window,True
muon/replay_update_relerr,none,sparse,dynamics,12.0,10.0,10.0,2.4581374225707457,12.504420715042846,0.0,0.0,0.0766370598410069,0.3683258094689119,-0.0766370598410069,-0.175291998786283,0.024523848690638,7.859666329389265,77.08742949645787,0.2859971675335248,0.2,0.0833333333333333,0.0833333333333333,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,27.479073210249773,7.438878667466803,0.0,0.0,0.2134798320734272,0.1264903541033184,0.1485555210266502,-0.1264903541033184,0.0087458683489097,13.88279976719291,36.27811606402669,0.4040815738603887,0.6,0.0,0.0,0.0,126.0,0.0499999999999999,False,post-dominated,uniformly different,True,True,True,True,False,alignment-unstable in window; alignment-unstable after window; verdict flips with alignment,True
scalars/backout_lambda,none,continuous,dynamics,400.0,398.0,398.0,0.5510196598112045,2.198092745196477,0.0,0.0,0.0303019809175082,0.1894303927113654,0.000189964960119,0.0713547029082869,0.067940039009158,2.336489966555277,14.714760281016662,0.192034931397351,0.2864321608040201,0.0,0.0,0.0,1.0,0.0003968253968253,2120.0,4976.0,2120.0,3.141924609317603,8.443780548207666,0.0,0.0,0.1360067711700343,0.4011577576675131,-0.1360067711700343,-0.4011577576675131,0.0484201476750709,8.512707026137996,18.090576066893554,0.3912587944488944,0.000943396226415,0.0,0.0,0.0,1.0,0.0003968253968253,False,post-dominated,post-dominated,False,False,True,True,False,alignment-unstable after window,True
sketch/probe_grad_sq_norm,none,sparse,dynamics,13.0,13.0,13.0,0.5324608242019093,4.005626006513021,0.0,0.0,0.1719355858974361,2.2295183607887323,-0.0433561462696651,2.2295183607887323,0.3223790307492232,2.3231300484264223,8.36210610360689,0.7169770658495733,0.3333333333333333,0.0769230769230769,0.0769230769230769,0.0769230769230769,8.0,0.0031746031746031,9.0,19.0,9.0,9.74455222309554,4.615963377880584,0.0,0.0,0.4817195811627623,0.538685682283523,-0.4817195811627623,-0.538685682283523,0.0452023796352014,1.538925729140421,11.974661990131278,0.1989154105164723,0.0,0.0,0.0,0.0,126.0,0.0499999999999999,False,post-dominated,uniformly different,True,False,False,False,False,verdict flips with alignment,True
update/direction_norm,native,sparse,dynamics,12.0,10.0,10.0,2.6779777487990346,39.82976291930632,0.0,0.0,0.0457286478705882,0.6938251855502122,0.0457286478705882,0.6938251855502122,0.0246721845800414,17.33919504231556,354.48294699216825,0.4173547486187448,0.6,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,250.8846054160527,20.828717146165868,0.0,0.0,0.6408196538533134,0.0971176961940672,0.6408196538533134,0.0918655723443128,0.004182587300822,42.93837193892132,179.2592838033592,0.4667134356576636,0.2,0.0,0.0,0.0,126.0,0.0499999999999999,False,post-dominated,uniformly different,True,True,True,True,False,alignment-unstable in window; alignment-unstable after window; verdict flips with alignment,True
update/direction_norm,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,2.6779777487990346,39.82976291930632,0.0,0.0,0.0457286478705882,0.6938251855502122,0.0457286478705882,0.6938251855502122,0.0246721845800414,17.33919504231556,354.48294699216825,0.4173547486187448,0.6,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,250.8846054160527,20.828717146165868,0.0,0.0,0.6408196538533134,0.0971176961940672,0.6408196538533134,0.0918655723443128,0.004182587300822,42.93837193892132,179.2592838033592,0.4667134356576636,0.2,0.0,0.0,0.0,126.0,0.0499999999999999,False,post-dominated,uniformly different,True,True,True,True,False,alignment-unstable in window; alignment-unstable after window; verdict flips with alignment,True
update/residual_p1,native,sparse,dynamics,12.0,10.0,10.0,0.6581653887594856,7.1679393474193205,0.0,0.0,0.188330820834111,0.9626131833581366,0.1190598490792842,-0.0427430127050411,0.1050227922545147,2.0262296309519403,46.2373622027835,0.4644005825419443,0.6,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,4.804402393463128,2.5212818624788835,0.0,0.0,0.670100181507723,0.5088461537203589,0.3325700359565742,-0.4891370237902571,0.1256842878621093,6.509995971938137,8.874582801895645,1.922719632774923,0.5,0.0,0.0,0.0,126.0,0.0499999999999999,False,post-dominated,uniformly different,True,False,True,True,False,alignment-unstable after window; verdict flips with alignment,True
