tier,metric,acceptance_arm,param_role,parameter_name,layer,head,optimizer_group_id,probe_name,aggregation,n_points,complete_frac,rel_median,rel_worst,sd_median,level_median,swing,noise_vs_swing,rel_early,rel_late
continuous,step/dt_excl_serialized_telemetry,-1,-1,-1,-1.0,-1.0,-1,-,scalar,2520.0,1.0,0.0031142022388095858,0.13054404948243176,0.0030479213678124427,0.9779503499157727,0.004808785580098562,0.6338235126195774,0.004047084170414537,0.0029222580241987615
continuous,step/loader_call_elapsed,-1,-1,-1,-1.0,-1.0,-1,-,scalar,2520.0,1.0,0.04310879968745205,0.16654888621484124,0.03749520787725981,0.8711462314240634,0.015314043965190649,2.4484197617877883,0.04020065074435591,0.04384416408243963
continuous,step/observed_dt,-1,-1,-1,-1.0,-1.0,-1,-,scalar,2520.0,1.0,0.0034109873347141937,0.836294586314523,0.003340749292614719,0.9789191484451294,0.005499029159545921,0.6075161988940206,0.004228510943762248,0.003179566475965579
continuous,step/skipped,-1,-1,-1,-1.0,-1.0,-1,-,scalar,2520.0,1.0,,,0.0,0.0,0.0,,,
periodic,attn/n_undefined_queries/b0,-1,-1,-1,0.0,-1.0,-1,short,L0:all,25.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0
periodic,attn/n_undefined_queries/b0,-1,-1,-1,6.0,-1.0,-1,short,L0:all,25.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0
periodic,attn/n_undefined_queries/b0,-1,-1,-1,11.0,-1.0,-1,short,L0:all,25.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0
periodic,attn/n_undefined_queries/b1,-1,-1,-1,0.0,-1.0,-1,short,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,attn/n_undefined_queries/b1,-1,-1,-1,6.0,-1.0,-1,short,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,attn/n_undefined_queries/b1,-1,-1,-1,11.0,-1.0,-1,short,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,attn/n_undefined_queries/b2,-1,-1,-1,0.0,-1.0,-1,short,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,attn/n_undefined_queries/b2,-1,-1,-1,6.0,-1.0,-1,short,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,attn/n_undefined_queries/b2,-1,-1,-1,11.0,-1.0,-1,short,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,attn/n_undefined_queries/b3,-1,-1,-1,0.0,-1.0,-1,short,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,attn/n_undefined_queries/b3,-1,-1,-1,6.0,-1.0,-1,short,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,attn/n_undefined_queries/b3,-1,-1,-1,11.0,-1.0,-1,short,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
periodic,attn/validation_max_abs_err,-1,-1,-1,0.0,-1.0,-1,short,L0:all,25.0,1.0,0.060064612201587694,0.3353028239609816,0.0017454806905112259,0.030809402465820312,0.014130496978759764,0.12352578208218315,0.06221146554860555,0.055310450118722466
periodic,attn/validation_max_abs_err,-1,-1,-1,6.0,-1.0,-1,short,L0:all,25.0,1.0,0.055548089654513653,0.14880787910707147,0.001490102462705974,0.031187057495117188,0.004197692871093749,0.35498129769501546,0.07513166309999107,0.045040087628906045
periodic,attn/validation_max_abs_err,-1,-1,-1,11.0,-1.0,-1,short,L0:all,25.0,1.0,0.14221664764512748,0.3456520043827454,0.008326585496618534,0.0616455078125,0.030854034423828128,0.26987023422091055,0.1328794839685949,0.14221664764512748
periodic,grad/max_abs,-1,attn_k,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,0.29468982855465425,0.5350936395113386,0.00022258352805396857,0.0008001327514648438,0.0009378314018249512,0.2373385318734661,0.2934154447047994,0.31620656771633254
periodic,grad/max_abs,-1,attn_out,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,0.27279009320371406,0.6516087608975116,0.00026715680018147273,0.0010514259338378906,0.0011048078536987304,0.24181290826913657,0.18083006888891096,0.27633544881094935
periodic,grad/max_abs,-1,attn_q,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,0.3329169772345272,0.5928274329303754,0.0005067850240453008,0.0016584396362304688,0.0021378874778747565,0.23704943748914636,0.24066745434179468,0.3434151553273855
periodic,grad/max_abs,-1,attn_v,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,0.23494600777968933,0.3636741975552509,0.00033876023280295916,0.0017366409301757812,0.0014642715454101561,0.23135069029021477,0.23720696401442917,0.2326850515449495
periodic,grad/max_abs,-1,backout_scalar,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,0.6064546675830285,3.145673439203871,0.016931388419326017,0.022368622943758965,0.03913798024877907,0.4326076182700869,0.6995111792079466,0.5904887784940185
periodic,grad/max_abs,-1,mlp_in,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,0.2829239773793909,0.7283539796675079,0.0017258210420995925,0.0059757232666015625,0.009104013442993164,0.1895670577494432,0.5955764089568164,0.27765041841104354
periodic,grad/max_abs,-1,mlp_out,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,0.27232385700315426,0.7261895914189482,0.0016605798272109763,0.00675201416015625,0.009772491455078126,0.16992389656663054,0.4797825912855358,0.23936480435261506
periodic,grad/max_abs,-1,resid_scalar,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,0.5634715453673651,1.8310799871844703,0.016817988440746008,0.025299072265625,0.040631103515624996,0.41391906656629507,0.628226335332043,0.5292351285963541
periodic,grad/max_abs,-1,smear_gate,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,0.2877344044532766,0.8072445026888279,7.608612284636622e-05,0.00023031234741210938,0.000847828388214112,0.08974236284613686,0.44799236524482067,0.2592069466060362
periodic,grad/max_abs,-1,smear_scalar,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,0.6063476801735963,1.5920675518231344,0.001618482511358344,0.0023260698653757572,0.007284590718336405,0.22217892177310405,0.4623394210526266,0.6133039687522698
periodic,grad/max_abs,-1,token_embedding,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,0.11422038476688956,0.5374277878756364,1.1187587000964132e-06,1.3589859008789062e-05,3.548860549926759e-05,0.03152444804063947,0.12285589881963063,0.09687867716867626
periodic,grad/max_abs,-1,unembedding,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,0.2756452738450067,0.8465658244898576,0.0070676167760234995,0.02060699462890625,0.02420518398284912,0.29198773209207357,0.28982894796976144,0.2756452738450067
periodic,grad/max_abs,-1,value_embedding,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,0.26938255688549706,0.9888424861464299,4.615416689540372e-06,1.8715858459472656e-05,1.6939640045166015e-05,0.27246250081078033,0.28563906230248604,0.2674567640956883
periodic,grad/max_abs,-1,ve_gate,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,0.41320070454471614,1.2143357853120016,0.000670572390552002,0.0018105506896972656,0.002820706367492676,0.23773207955285092,0.2509660891208852,0.41682107677247354
periodic,grad/max_abs,-1,x0_scalar,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,0.40956880293089104,1.1646784026049914,0.0007851669626756544,0.002506256103515625,0.004285418987274173,0.18321824890570984,0.6127738241593773,0.4036994832557036
periodic,grad/nonfinite,-1,attn_k,-1,-1.0,-1.0,-1,-,L0:all,25.0,1.0,,,0.0,0.0,0.0,,,
