nominal,run,depth,seed,progress,n_matrix,median,mean,gmean,q25,q75
0.45,d12-s10,12,10,0.4503968253968254,78,0.04701295867562294,0.05087139261647677,0.04939003297386969,0.04227208532392979,0.05147270858287811
0.45,d12-s11,12,11,0.4503968253968254,78,0.04675157740712166,0.05179877335635515,0.049965981697082155,0.042510208673775196,0.054460739716887474
0.45,d14-s7,14,7,0.4501197126895451,91,0.0418810099363327,0.046693955189906634,0.04506005531418506,0.038377244025468826,0.04776765964925289
0.45,d16-s7,16,7,0.45014880952380953,104,0.03775838389992714,0.04271602766731611,0.041134296544422154,0.035302676260471344,0.043084580451250076
0.5,d12-s7,12,7,0.5003968253968254,78,0.04388117045164108,0.048574209213256836,0.046900872675433046,0.03977257199585438,0.050720591098070145
0.5,d12-s8,12,8,0.5003968253968254,78,0.043775491416454315,0.04794061957643582,0.04640246327599511,0.03928009979426861,0.04914243333041668
0.5,d12-s9,12,9,0.5003968253968254,78,0.04296712577342987,0.049289452437406935,0.046967702433723106,0.039313191547989845,0.050699466839432716
0.5,d12-s10,12,10,0.5003968253968254,78,0.04184395261108875,0.04677141935397417,0.04524073464194141,0.0384012795984745,0.046543789096176624
0.5,d12-s11,12,11,0.5003968253968254,78,0.04384108632802963,0.04865613911682979,0.04709436247957757,0.0400218004360795,0.05233399011194706
0.5,d14-s7,14,7,0.5001330140994945,91,0.038816407322883606,0.04369864942362675,0.04224682000014943,0.03617962263524532,0.046594010666012764
0.5,d16-s7,16,7,0.5001860119047619,104,0.0356943067163229,0.04132535776051764,0.03940518096799187,0.03361480217427015,0.041523076593875885
0.55,d12-s7,12,7,0.55,78,0.039962163195014,0.04633206463395021,0.044343682226287096,0.03708597458899021,0.04902090597897768
0.55,d12-s8,12,8,0.55,78,0.03989666514098644,0.04581177134353381,0.04379650405475172,0.03686858806759119,0.04569503664970398
0.55,d12-s9,12,9,0.55,78,0.03991532139480114,0.04591727903924692,0.04369241323127812,0.03683691006153822,0.04625724442303181
0.55,d12-s10,12,10,0.55,78,0.040169110521674156,0.04473598284694629,0.0431499180613957,0.037064725533127785,0.04463652800768614
0.55,d12-s11,12,11,0.55,78,0.03993313945829868,0.04645012221179712,0.044071805124508964,0.03677300550043583,0.04690275061875582
0.55,d14-s7,14,7,0.550146315509444,91,0.036071375012397766,0.041959688701963684,0.040268307676655554,0.034427348524332047,0.043826764449477196
0.55,d16-s7,16,7,0.5500372023809523,104,0.033223699778318405,0.03970774295381629,0.03753921820129082,0.031922219321131706,0.03930547274649143
0.6,d12-s7,12,7,0.6,78,0.037161778658628464,0.042601966084196016,0.04110589812391687,0.034884524531662464,0.04484635777771473
