run,depth,step,normalized_progress,value_scalar,param_role,parameter_name,layer,optimizer_group_id,r,r_frac,nominal,rows,cols,numel,minmn,aspect
d12-s7,12,253,0.1003968253968254,0.08778500556945801,ve_gate,transformer.h.3.attn.ve_gate.weight,3,g6-muon-6x12,0.2727272727272727,0.25,0.1,6,12,72,6,2.0
d12-s7,12,253,0.1003968253968254,0.09817104041576385,ve_gate,transformer.h.5.attn.ve_gate.weight,5,g6-muon-6x12,0.45454545454545453,0.4166666666666667,0.1,6,12,72,6,2.0
d12-s7,12,253,0.1003968253968254,0.08306103944778442,ve_gate,transformer.h.7.attn.ve_gate.weight,7,g6-muon-6x12,0.6363636363636364,0.5833333333333334,0.1,6,12,72,6,2.0
d12-s7,12,253,0.1003968253968254,0.09351539611816406,ve_gate,transformer.h.9.attn.ve_gate.weight,9,g6-muon-6x12,0.8181818181818182,0.75,0.1,6,12,72,6,2.0
d12-s7,12,253,0.1003968253968254,0.0743352398276329,ve_gate,transformer.h.11.attn.ve_gate.weight,11,g6-muon-6x12,1.0,0.9166666666666666,0.1,6,12,72,6,2.0
d12-s7,12,253,0.1003968253968254,0.03658762946724892,attn_q,transformer.h.0.attn.c_q.weight,0,g7-muon-768x768,0.0,0.0,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.03674420714378357,attn_k,transformer.h.0.attn.c_k.weight,0,g7-muon-768x768,0.0,0.0,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.06008313223719597,attn_v,transformer.h.0.attn.c_v.weight,0,g7-muon-768x768,0.0,0.0,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.05037437751889229,attn_out,transformer.h.0.attn.c_proj.weight,0,g7-muon-768x768,0.0,0.0,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.04289964213967323,attn_q,transformer.h.1.attn.c_q.weight,1,g7-muon-768x768,0.09090909090909091,0.08333333333333333,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.04115024581551552,attn_k,transformer.h.1.attn.c_k.weight,1,g7-muon-768x768,0.09090909090909091,0.08333333333333333,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.08103926479816437,attn_v,transformer.h.1.attn.c_v.weight,1,g7-muon-768x768,0.09090909090909091,0.08333333333333333,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.04033168405294418,attn_out,transformer.h.1.attn.c_proj.weight,1,g7-muon-768x768,0.09090909090909091,0.08333333333333333,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.04098951071500778,attn_q,transformer.h.2.attn.c_q.weight,2,g7-muon-768x768,0.18181818181818182,0.16666666666666666,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.04012416675686836,attn_k,transformer.h.2.attn.c_k.weight,2,g7-muon-768x768,0.18181818181818182,0.16666666666666666,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.08198025822639465,attn_v,transformer.h.2.attn.c_v.weight,2,g7-muon-768x768,0.18181818181818182,0.16666666666666666,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.05073295533657074,attn_out,transformer.h.2.attn.c_proj.weight,2,g7-muon-768x768,0.18181818181818182,0.16666666666666666,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.042103733867406845,attn_q,transformer.h.3.attn.c_q.weight,3,g7-muon-768x768,0.2727272727272727,0.25,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.040856629610061646,attn_k,transformer.h.3.attn.c_k.weight,3,g7-muon-768x768,0.2727272727272727,0.25,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.09982268512248993,attn_v,transformer.h.3.attn.c_v.weight,3,g7-muon-768x768,0.2727272727272727,0.25,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.043740227818489075,attn_out,transformer.h.3.attn.c_proj.weight,3,g7-muon-768x768,0.2727272727272727,0.25,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.04307163506746292,attn_q,transformer.h.4.attn.c_q.weight,4,g7-muon-768x768,0.36363636363636365,0.3333333333333333,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.04157242551445961,attn_k,transformer.h.4.attn.c_k.weight,4,g7-muon-768x768,0.36363636363636365,0.3333333333333333,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.07992368936538696,attn_v,transformer.h.4.attn.c_v.weight,4,g7-muon-768x768,0.36363636363636365,0.3333333333333333,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.057379283010959625,attn_out,transformer.h.4.attn.c_proj.weight,4,g7-muon-768x768,0.36363636363636365,0.3333333333333333,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.04512513056397438,attn_q,transformer.h.5.attn.c_q.weight,5,g7-muon-768x768,0.45454545454545453,0.4166666666666667,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.041406258940696716,attn_k,transformer.h.5.attn.c_k.weight,5,g7-muon-768x768,0.45454545454545453,0.4166666666666667,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.0883261039853096,attn_v,transformer.h.5.attn.c_v.weight,5,g7-muon-768x768,0.45454545454545453,0.4166666666666667,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.03835165500640869,attn_out,transformer.h.5.attn.c_proj.weight,5,g7-muon-768x768,0.45454545454545453,0.4166666666666667,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.04639206826686859,attn_q,transformer.h.6.attn.c_q.weight,6,g7-muon-768x768,0.5454545454545454,0.5,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.04408573731780052,attn_k,transformer.h.6.attn.c_k.weight,6,g7-muon-768x768,0.5454545454545454,0.5,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.08027715981006622,attn_v,transformer.h.6.attn.c_v.weight,6,g7-muon-768x768,0.5454545454545454,0.5,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.06238789111375809,attn_out,transformer.h.6.attn.c_proj.weight,6,g7-muon-768x768,0.5454545454545454,0.5,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.03996257856488228,attn_q,transformer.h.7.attn.c_q.weight,7,g7-muon-768x768,0.6363636363636364,0.5833333333333334,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.03880782052874565,attn_k,transformer.h.7.attn.c_k.weight,7,g7-muon-768x768,0.6363636363636364,0.5833333333333334,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.08542509377002716,attn_v,transformer.h.7.attn.c_v.weight,7,g7-muon-768x768,0.6363636363636364,0.5833333333333334,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.046459343284368515,attn_out,transformer.h.7.attn.c_proj.weight,7,g7-muon-768x768,0.6363636363636364,0.5833333333333334,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.043442606925964355,attn_q,transformer.h.8.attn.c_q.weight,8,g7-muon-768x768,0.7272727272727273,0.6666666666666666,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.042270224541425705,attn_k,transformer.h.8.attn.c_k.weight,8,g7-muon-768x768,0.7272727272727273,0.6666666666666666,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.08073864132165909,attn_v,transformer.h.8.attn.c_v.weight,8,g7-muon-768x768,0.7272727272727273,0.6666666666666666,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.06447270512580872,attn_out,transformer.h.8.attn.c_proj.weight,8,g7-muon-768x768,0.7272727272727273,0.6666666666666666,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.041730113327503204,attn_q,transformer.h.9.attn.c_q.weight,9,g7-muon-768x768,0.8181818181818182,0.75,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.03951243683695793,attn_k,transformer.h.9.attn.c_k.weight,9,g7-muon-768x768,0.8181818181818182,0.75,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.0704539567232132,attn_v,transformer.h.9.attn.c_v.weight,9,g7-muon-768x768,0.8181818181818182,0.75,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.048049911856651306,attn_out,transformer.h.9.attn.c_proj.weight,9,g7-muon-768x768,0.8181818181818182,0.75,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.046083271503448486,attn_q,transformer.h.10.attn.c_q.weight,10,g7-muon-768x768,0.9090909090909091,0.8333333333333334,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.044786132872104645,attn_k,transformer.h.10.attn.c_k.weight,10,g7-muon-768x768,0.9090909090909091,0.8333333333333334,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.08058352023363113,attn_v,transformer.h.10.attn.c_v.weight,10,g7-muon-768x768,0.9090909090909091,0.8333333333333334,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.08107273280620575,attn_out,transformer.h.10.attn.c_proj.weight,10,g7-muon-768x768,0.9090909090909091,0.8333333333333334,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.040300268679857254,attn_q,transformer.h.11.attn.c_q.weight,11,g7-muon-768x768,1.0,0.9166666666666666,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.03978293389081955,attn_k,transformer.h.11.attn.c_k.weight,11,g7-muon-768x768,1.0,0.9166666666666666,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.06702286005020142,attn_v,transformer.h.11.attn.c_v.weight,11,g7-muon-768x768,1.0,0.9166666666666666,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.0637110024690628,attn_out,transformer.h.11.attn.c_proj.weight,11,g7-muon-768x768,1.0,0.9166666666666666,0.1,768,768,589824,768,1.0
d12-s7,12,253,0.1003968253968254,0.035312093794345856,mlp_out,transformer.h.0.mlp.c_proj.weight,0,g8-muon-768x3072,0.0,0.0,0.1,768,3072,2359296,768,4.0
d12-s7,12,253,0.1003968253968254,0.03663361817598343,mlp_out,transformer.h.1.mlp.c_proj.weight,1,g8-muon-768x3072,0.09090909090909091,0.08333333333333333,0.1,768,3072,2359296,768,4.0
