run,depth,seed,source,step,normalized_progress,phase,cosine,sample_count
d12-s7,12,7,fixed_probe_sketch_prev,2,0.0007936507936507937,early,1.0134057878078722,
d12-s7,12,7,fixed_probe_sketch_prev,4,0.0015873015873015873,early,0.9864026037122248,
d12-s7,12,7,fixed_probe_sketch_prev,8,0.0031746031746031746,early,0.2314217866722693,
d12-s7,12,7,fixed_probe_sketch_prev,16,0.006349206349206349,early,0.18418006368404086,
d12-s7,12,7,fixed_probe_sketch_prev,32,0.012698412698412698,early,0.7785081996114187,
d12-s7,12,7,fixed_probe_sketch_prev,40,0.015873015873015872,early,0.9130177595878571,
d12-s7,12,7,fixed_probe_sketch_prev,64,0.025396825396825397,early,0.7002661116528376,
d12-s7,12,7,fixed_probe_sketch_prev,126,0.05,early,0.3272673027385142,
d12-s7,12,7,fixed_probe_sketch_prev,252,0.1,early,0.28403063853767374,
d12-s7,12,7,fixed_probe_sketch_prev,378,0.15,early,0.4453026180060181,
d12-s7,12,7,fixed_probe_sketch_prev,400,0.15873015873015872,early,0.7022748193769078,
d12-s7,12,7,fixed_probe_sketch_prev,504,0.2,early,0.4899445395900732,
d12-s7,12,7,fixed_probe_sketch_prev,630,0.25,middle,0.5615322220308506,
d12-s7,12,7,fixed_probe_sketch_prev,756,0.3,middle,0.6433637737281476,
d12-s7,12,7,fixed_probe_sketch_prev,882,0.35,middle,0.670922932794172,
d12-s7,12,7,fixed_probe_sketch_prev,1008,0.4,middle,0.7350511299673501,
d12-s7,12,7,fixed_probe_sketch_prev,1134,0.45,middle,0.7528339003891735,
d12-s7,12,7,fixed_probe_sketch_prev,1260,0.5,middle,0.7678163156342097,
d12-s7,12,7,fixed_probe_sketch_prev,1385,0.5496031746031746,middle,0.8178339039649207,
d12-s7,12,7,fixed_probe_sketch_prev,1511,0.5996031746031746,middle,0.8303356231339905,
d12-s7,12,7,fixed_probe_sketch_prev,1637,0.6496031746031746,middle,0.8018220513456886,
d12-s7,12,7,fixed_probe_sketch_prev,1763,0.6996031746031746,middle,0.8769861846618207,
d12-s7,12,7,fixed_probe_sketch_prev,1889,0.7496031746031746,middle,0.892129431130732,
d12-s7,12,7,fixed_probe_sketch_prev,2015,0.7996031746031746,late,0.9137933709965426,
d12-s7,12,7,fixed_probe_sketch_prev,2141,0.8496031746031746,late,0.9259358510401097,
d12-s7,12,7,fixed_probe_sketch_prev,2267,0.8996031746031746,late,0.9453496515824051,
d12-s7,12,7,fixed_probe_sketch_prev,2393,0.9496031746031746,late,0.9594037762429007,
d12-s7,12,7,fixed_probe_sketch_prev,2519,0.9996031746031746,late,0.9734825528595704,
d12-s7,12,7,logical_exact_prev_deep,1,0.0003968253968253968,early,0.971543884672996,1.0
d12-s7,12,7,logical_exact_prev_deep,2,0.0007936507936507937,early,0.966453519659055,1.0
d12-s7,12,7,logical_exact_prev_deep,4,0.0015873015873015873,early,0.8575509899570082,2.0
d12-s7,12,7,logical_exact_prev_deep,8,0.0031746031746031746,early,0.13924794748191976,4.0
