run,depth,seed,step,normalized_progress,phase,layer_region,sq,layered_total_sq,share_within_layered
d12-s10,12,10,1010,0.4007936507936508,middle,upper_third,0.05433525576787624,0.069834895032594,0.7780530885385648
d12-s10,12,10,1111,0.44087301587301586,middle,lower_third,0.0035879081483178865,0.055290879601993304,0.06489150062623598
d12-s10,12,10,1111,0.44087301587301586,middle,middle_third,0.00896537306032208,0.055290879601993304,0.16214922108055713
d12-s10,12,10,1111,0.44087301587301586,middle,upper_third,0.04273759839335334,0.055290879601993304,0.7729592782932069
d12-s10,12,10,1212,0.48095238095238096,middle,lower_third,0.004844021551841493,0.07951386312392295,0.06092046545760265
d12-s10,12,10,1212,0.48095238095238096,middle,middle_third,0.009473318010288168,0.07951386312392295,0.11914045724987517
d12-s10,12,10,1212,0.48095238095238096,middle,upper_third,0.06519652356179328,0.07951386312392295,0.8199390772925221
d12-s10,12,10,1313,0.5210317460317461,middle,lower_third,0.0032693610111702576,0.0626970744805919,0.052145351888504776
d12-s10,12,10,1313,0.5210317460317461,middle,middle_third,0.009128297414743969,0.0626970744805919,0.1455936738734064
d12-s10,12,10,1313,0.5210317460317461,middle,upper_third,0.050299416054677686,0.0626970744805919,0.802260974238089
d12-s10,12,10,1414,0.5611111111111111,middle,lower_third,0.003838309255618011,0.09052011339793653,0.042402833044898815
d12-s10,12,10,1414,0.5611111111111111,middle,middle_third,0.008095161175007526,0.09052011339793653,0.08942941928740514
d12-s10,12,10,1414,0.5611111111111111,middle,upper_third,0.078586642967311,0.09052011339793653,0.868167747667696
d12-s10,12,10,1515,0.6011904761904762,middle,lower_third,0.0032936822809119803,0.0647625601043833,0.05085781469421952
d12-s10,12,10,1515,0.6011904761904762,middle,middle_third,0.007881071856391308,0.0647625601043833,0.12169178988120169
d12-s10,12,10,1515,0.6011904761904762,middle,upper_third,0.053587805967080016,0.0647625601043833,0.8274503954245788
d12-s10,12,10,1616,0.6412698412698413,middle,lower_third,0.003888471247748271,0.06114483723700381,0.06359443288198066
d12-s10,12,10,1616,0.6412698412698413,middle,middle_third,0.009660367660064395,0.06114483723700381,0.15799155082578428
d12-s10,12,10,1616,0.6412698412698413,middle,upper_third,0.04759599832919115,0.06114483723700381,0.7784140162922351
d12-s10,12,10,1717,0.6813492063492064,middle,lower_third,0.0024353543753834472,0.039037908255979296,0.06238434599042413
d12-s10,12,10,1717,0.6813492063492064,middle,middle_third,0.005527963756630783,0.039037908255979296,0.1416050194181212
d12-s10,12,10,1717,0.6813492063492064,middle,upper_third,0.03107459012396507,0.039037908255979296,0.7960106345914547
d12-s10,12,10,1818,0.7214285714285714,middle,lower_third,0.002602108114740709,0.04022857637247323,0.06468307728933767
d12-s10,12,10,1818,0.7214285714285714,middle,middle_third,0.005055431107090058,0.04022857637247323,0.12566766122375841
