run,depth,seed,step,normalized_progress,direction,verdict,value_scalar
d12-s10,12,10,2268,0.9,random,inconclusive,1.0
d12-s10,12,10,2268,0.9,gradient,passed,0.0
d12-s10,12,10,2268,0.9,update,inconclusive,1.0
d12-s10,12,10,2394,0.95,random,inconclusive,1.0
d12-s10,12,10,2394,0.95,gradient,passed,0.0
d12-s10,12,10,2394,0.95,update,inconclusive,1.0
d12-s10,12,10,2520,1.0,random,inconclusive,1.0
d12-s10,12,10,2520,1.0,gradient,passed,0.0
d12-s10,12,10,2520,1.0,update,inconclusive,1.0
d12-s11,12,11,1,0.0003968253968253968,random,inconclusive,1.0
d12-s11,12,11,1,0.0003968253968253968,gradient,inconclusive,1.0
d12-s11,12,11,1,0.0003968253968253968,update,inconclusive,1.0
d12-s11,12,11,2,0.0007936507936507937,random,inconclusive,1.0
d12-s11,12,11,2,0.0007936507936507937,gradient,inconclusive,1.0
d12-s11,12,11,2,0.0007936507936507937,update,inconclusive,1.0
d12-s11,12,11,3,0.0011904761904761906,random,inconclusive,1.0
d12-s11,12,11,3,0.0011904761904761906,gradient,inconclusive,1.0
d12-s11,12,11,3,0.0011904761904761906,update,inconclusive,1.0
